2021 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Osteoporosis Testing - DMC04,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC05,Doctors who Communicate Well - DMC06,Call Center – Beneficiary Hold Time - DMC07,Pneumonia Vaccine - DMC08,Access to Primary Care Doctor Visits - DMC09,Call Center - Calls Disconnected When Customer Calls Health Plan - DMC10,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC11,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC12,Initiation of Alcohol or other Drug Treatment - DMC13,Engagement of Alcohol or other Drug Treatment - DMC14,Hospitalization for Potentially Preventable Complications - DMC15,Controlling High Blood Pressure - DMC16,Follow-up after Emergency Department Visit for Patients with Mulitple Chronic Conditions - DMC17,Transitions of Care -  Medication Reconciliation Post-Discharge - DMC18,Transitions of Care - Notification of Inpatient Admission - DMC19,Transitions of Care - Patient Engagement After Inpatient Discharge - DMC20,Transitions of Care - Receipt of Discharge Information - DMC21,Transitions of Care - Average - DMC22,Plan All-Cause Readmissions (18+) - DMC23,Plan All-Cause Readmissions (18-64) - DMC24,Plan All-Cause Readmissions (65+) - DMC25,Physical Functioning Activities of Daily Living - DMC26,Care of Older Adults - Functional Status - DMC27,Kidney Health Evaluation for Patients With Diabetes - DMC28,Improving or Maintaining Physical Health - DMC29,Improving or Maintaining Mental Health - DMC30,Call Center - Calls Disconnected When Customer Calls Drug Plan - DMD01,Call Center – Beneficiary Hold Time - DMD02,MPF – Stability - DMD03,Call Center – Pharmacy Hold Time - DMD04,Plan Submitted Higher Prices for Display on MPF - DMD05,Reminders to Fill Prescriptions - DMD06,Reminders to Take Medications - DMD07,Antipsychotic Use in Persons with Dementia - DMD08,Antipsychotic Use in Persons with Dementia - for Long-Term Nursing Home Residents - DMD09,Concurrent Use of Opioids and Benzodiazepines - DMD10,Use of Opioids at High Dosage in Persons Without Cancer - DMD11,Use of Opioids from Multiple Providers in Persons Without Cancer - DMD12,Polypharmacy: Use of Multiple Anticholinergic Medications in Older Adults - DMD13,Polypharmacy: Use of Multiple CNS-Active Medications in Older Adults - DMD14,Grievance Rate - DME01,"Disenrollment Reasons - Problems Getting the Plan to Provide and Pay for Needed Care (MA-PD, MA-only) - DME02","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME03","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME04","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME05","Disenrollment Reasons - Problems Getting Information and Help from the Plan (MA-PD, PDP) - DME06",Beneficiary Access and Performance Problems - DME07
H0480,Meridian Complete,"MERIDIAN HEALTH PLAN OF MICHIGAN, INC.",Centene Corporation,59%,55%,Not enough data available,64%,26%,No data available,1:12,Plan too small to be measured,92%,0.79%,72%,86%,50%,9%,24%,63%,53%,34%,7%,75%,11%,32%,11%,13%,9%,93%,Plan not required to report measure,31%,72%,72%,0.79%,1:12,101,0:16,33,No data available,No data available,7%,4%,19.91%,7.87%,0.55%,14.54%,8.34%,0.08,Not Available,Not Available,Not Available,Not Available,Not Available,80
H0482,Ascension Complete,CENTENE VENTURE COMPANY MICHIGAN,Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,0:23,Plan too new to be measured,Plan too new to be measured,1.57%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,1.57%,0:23,No data available,0:12,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0504,Blue Shield of California,CALIFORNIA PHYSICIANS' SERVICE,California Physicians' Service,38%,63%,88%,78%,23%,91,0:49,75%,94%,1.57%,56%,72%,35%,3%,10%,68%,66%,74%,16%,88%,7%,46%,13%,15%,13%,100%,Plan not required to report measure,64%,69%,78%,1.57%,0:49,101,0:11,85,59%,29%,8%,7%,16.25%,5.24%,0.13%,5.34%,4.97%,2.51,15%,22%,19%,10%,11%,100
H0523,Aetna Medicare,AETNA HEALTH OF CALIFORNIA INC.,CVS Health Corporation,Not enough data available,57%,Not enough data available,71%,27%,93,0:31,70%,92%,0.64%,72%,87%,72%,5%,Not enough data available,64%,45%,71%,2%,76%,4%,38%,8%,9%,8%,94%,Plan not required to report measure,48%,61%,85%,0.64%,0:31,100,0:40,92,54%,37%,8%,3%,14.44%,4.71%,0.16%,6.42%,4.23%,1.44,11%,19%,15%,Not Available,7%,100
H0524,Kaiser Permanente,"KAISER FOUNDATION HP, INC.","Kaiser Foundation Health Plan, Inc.",78%,67%,93%,82%,52%,91,2:13,80%,93%,0.79%,86%,95%,40%,11%,10%,69%,69%,91%,95%,98%,73%,89%,12%,11%,12%,94%,94%,75%,68%,80%,0.79%,2:13,101,0:17,44,37%,22%,9%,10%,7.92%,2.67%,0.85%,4.53%,2.86%,5.1,20%,21%,28%,8%,16%,100
H0543,UnitedHealthcare,UHC OF CALIFORNIA,"UnitedHealth Group, Inc.",41%,60%,87%,74%,27%,No data available,0:35,76%,94%,1.96%,65%,79%,14%,1%,9%,57%,55%,69%,10%,85%,4%,42%,12%,12%,12%,93%,No data available,60%,69%,81%,1.96%,0:35,101,0:39,62,55%,25%,9%,5%,14.60%,5.68%,0.21%,6.69%,4.99%,3.17,18%,25%,27%,Not Available,16%,100
H0544,Anthem Blue Cross,BLUE CROSS OF CALIFORNIA,Anthem Inc.,30%,57%,81%,68%,24%,89,1:07,64%,89%,6.18%,64%,80%,16%,2%,11%,69%,50%,70%,4%,77%,1%,38%,12%,13%,13%,94%,74%,58%,70%,81%,1.31%,0:11,100,0:41,93,58%,42%,7%,5%,15.41%,4.49%,0.31%,6.73%,5.19%,8.25,27%,38%,21%,Not Available,18%,100
H0545,Inter Valley Health Plan,"INTER VALLEY HEALTH PLAN, INC.",InterValley Health Plan,Not enough data available,53%,Not enough data available,80%,38%,90,0:12,71%,95%,1.56%,74%,70%,14%,0%,Not enough data available,61%,61%,85%,39%,83%,21%,57%,11%,6%,11%,92%,Plan not required to report measure,51%,66%,76%,0.80%,0:14,100,0:17,52,56%,31%,7%,4%,13.77%,3.69%,0.06%,8.10%,4.94%,3.38,15%,25%,10%,8%,9%,80
H0562,Wellcare by Health Net,"HEALTH NET OF CALIFORNIA,INC.",Centene Corporation,41%,59%,84%,79%,26%,91,0:58,71%,94%,13.73%,68%,85%,11%,1%,8%,69%,59%,70%,17%,87%,8%,45%,12%,11%,12%,96%,82%,57%,66%,80%,13.73%,0:58,102,2:30,83,55%,35%,8%,9%,17.51%,5.13%,0.09%,6.59%,5.69%,3.87,13%,19%,22%,Not Available,16%,100
H0571,Chinese Community Health Plan,CHINESE COMMUNITY HEALTH PLAN,Chinese Hospital Association,Not enough data available,42%,Not enough data available,60%,13%,No data available,0:15,72%,92%,0.00%,Not enough data available,Not enough data available,9%,0%,12%,68%,66%,60%,23%,85%,29%,49%,9%,0%,9%,89%,54%,66%,67%,80%,0.00%,0:15,100,0:08,98,50%,63%,4%,No data available,5.02%,No data available,No data available,3.96%,0.99%,0.5,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0609,UnitedHealthcare,"PACIFICARE OF COLORADO, INC.","UnitedHealth Group, Inc.",51%,62%,87%,85%,42%,No data available,0:47,73%,95%,2.06%,68%,77%,21%,2%,12%,53%,60%,70%,10%,89%,7%,44%,12%,12%,12%,97%,85%,57%,65%,84%,2.06%,0:47,100,0:39,61,53%,25%,7%,13%,11.13%,9.16%,0.25%,6.94%,4.01%,4.18,13%,25%,19%,7%,11%,80
H0624,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",58%,63%,Not enough data available,68%,26%,90,1:05,66%,96%,1.60%,73%,87%,38%,7%,17%,75%,58%,60%,11%,83%,6%,40%,10%,9%,11%,89%,70%,29%,67%,81%,1.60%,1:05,100,0:39,62,56%,42%,6%,9%,14.59%,13.38%,0.99%,16.18%,10.16%,7.13,19%,27%,24%,Not Available,14%,100
H0628,Aetna Medicare,AETNA HEALTH OF OHIO INC.,CVS Health Corporation,Not enough data available,68%,Not enough data available,Plan not required to report measure,36%,93,0:36,67%,96%,1.36%,78%,81%,28%,3%,12%,64%,59%,91%,1%,78%,0%,43%,15%,17%,14%,No data available,No data available,40%,No data available,No data available,1.36%,0:36,100,0:40,93,52%,26%,3%,No data available,12.07%,4.21%,0.24%,6.55%,2.89%,1.71,18%,14%,20%,Not Available,11%,100
H0630,Kaiser Permanente,KAISER FOUNDATION HP OF CO,"Kaiser Foundation Health Plan, Inc.",75%,79%,93%,85%,37%,93,1:43,84%,91%,0.78%,81%,95%,35%,7%,12%,76%,55%,94%,96%,96%,91%,94%,10%,10%,9%,98%,95%,74%,66%,80%,0.78%,1:43,102,0:19,43,43%,22%,8%,15%,4.96%,3.02%,1.38%,4.56%,2.13%,4.18,22%,24%,17%,7%,17%,100
H0645,Exemplar Health,EXEMPLAR HEALTH INSURANCE COMPANY,"Exemplar Health, INC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan not required to report measure,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0657,Friday Health Plans,"FRIDAY HEALTH PLANS OF COLORADO, INC.","Friday Health Plans, Inc.",Not enough data available,Benefit not offered by plan,Plan not required to report measure,57%,Not enough data available,No data available,Plan not required to report measure,Plan too small to be measured,86%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Benefit not offered by plan,Benefit not offered by plan,Not enough data available,49%,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,94%,Plan not required to report measure,5%,66%,76%,Plan not required to report measure,Plan not required to report measure,No data available,Plan not required to report measure,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0672,Cigna,"CIGNA HEALTHCARE OF COLORADO, INC.",CIGNA,Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Not enough data available,Plan too new to be measured,0:47,Plan too small to be measured,86%,0.62%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,53%,Not enough data available,89%,26%,84%,19%,54%,14%,Not enough data available,14%,No data available,No data available,45%,No data available,No data available,0.62%,0:47,90,0:09,49,Plan too new to be measured,Plan too new to be measured,No data available,No data available,6.65%,No data available,No data available,12.33%,5.87%,Plan too small to be measured,35%,40%,13%,Not Available,21%,100
H0710,UnitedHealthcare,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","UnitedHealth Group, Inc.",Not enough data available,77%,Not enough data available,Not enough data available,6%,No data available,0:43,Plan too small to be measured,100%,1.52%,67%,91%,79%,3%,Not enough data available,93%,58%,78%,6%,81%,7%,43%,9%,11%,8%,70%,100%,9%,51%,84%,1.52%,0:43,100,0:39,65,No data available,No data available,5%,4%,18.29%,4.83%,0.03%,11.32%,11.92%,0.29,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0712,Wellcare,"WELLCARE OF CONNECTICUT, INC.",Centene Corporation,37%,61%,Not enough data available,70%,30%,No data available,0:23,60%,93%,0.82%,70%,81%,39%,10%,18%,60%,54%,58%,18%,78%,14%,42%,12%,15%,11%,96%,50%,43%,67%,77%,0.82%,0:23,100,0:36,94,66%,50%,8%,17%,17.31%,10.95%,0.10%,10.66%,5.63%,CMS Found Issues with Plan's Data,30%,42%,16%,Not Available,18%,80
H0724,Wellcare by Allwell,"BUCKEYE HEALTH PLAN COMMUNITY SOLUTIONS, Inc.",Centene Corporation,32%,57%,Not enough data available,58%,Not enough data available,92,0:25,62%,87%,3.91%,Not enough data available,Not enough data available,52%,6%,27%,63%,55%,19%,0%,68%,0%,22%,13%,11%,14%,No data available,Plan not required to report measure,41%,No data available,No data available,3.91%,0:25,102,2:30,82,48%,32%,5%,No data available,14.48%,4.63%,No data available,7.61%,4.37%,10.86,19%,33%,15%,Not Available,17%,100
H0755,UnitedHealthcare,"OXFORD HEALTH PLANS (CT), INC.","UnitedHealth Group, Inc.",48%,62%,90%,77%,36%,93,0:50,73%,94%,2.76%,69%,80%,37%,5%,13%,43%,58%,61%,14%,84%,8%,42%,12%,12%,12%,97%,Plan not required to report measure,39%,72%,78%,2.76%,0:50,100,0:39,62,59%,27%,7%,7%,19.32%,10.71%,0.25%,5.89%,4.18%,4.1,12%,26%,21%,8%,6%,100
H0783,Humana,"HUMANA BENEFIT PLAN OF TEXAS, INC.",Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,0:23,Plan too new to be measured,Plan too new to be measured,1.05%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan not required to report measure,Plan too new to be measured,No data available,No data available,1.05%,0:23,No data available,0:15,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0798,Medica,MEDICA COMMUNITY HEALTH PLAN,Medica Holding Company,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,3:21,Plan too small to be measured,Plan too small to be measured,0.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,No data available,Plan too small to be measured,No data available,No data available,0.00%,3:21,95,0:09,50,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0826,Innovative Integrated Health Community Plans,"INNOVATIVE INTEGRATED HEALTH COMMUNITY PLANS, INC.","Innovative Integrated Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan not required to report measure,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0838,Brand New Day,"UNIVERSAL CARE, INC.","Bright Health Group, Inc.",34%,54%,78%,66%,13%,No data available,1:42,64%,95%,4.69%,62%,80%,17%,2%,8%,56%,49%,82%,39%,80%,31%,58%,12%,11%,12%,93%,89%,56%,68%,79%,4.69%,1:42,100,0:12,97,60%,50%,6%,5%,14.54%,4.06%,0.13%,8.07%,6.18%,4.09,17%,33%,18%,Not Available,18%,80
H0876,Commonwealth Care Alliance,"Commonwealth Care Alliance Rhode Island, LLC","Commonwealth Care Alliance, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0885,Braven Health,HEALTHIER NEW JERSEY INSURANCE COMPANY,"NJ Collaborative Care, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,1:24,Plan too new to be measured,Plan too new to be measured,2.34%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan not required to report measure,Plan too new to be measured,No data available,No data available,0.00%,0:25,No data available,0:14,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0907,Amerigroup Iowa,"AMERIGROUP IOWA, INC.",Anthem Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,0:38,Plan too new to be measured,Plan too new to be measured,4.69%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,0.78%,0:10,No data available,0:41,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
