CY2015 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organizatoin Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Call Answer Timeliness - DMC02,Antidepressant Medication Management (6 months) - DMC03,Continuous Beta Blocker Treatment - DMC04,Appropriate Monitoring of Patients Taking Long-term Medications - DMC05,Osteoporosis Testing - DMC06,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC07,Doctors who Communicate Well - DMC08,Call Center – Beneficiary Hold Time - DMC09,Pneumonia Vaccine - DMC10,Access to Primary Care Doctor Visits - DMC11,Calls Disconnected When Customer Calls Health Plan - DMC12,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC13,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC14,Initiation of Alcohol or other Drug Treatment - DMC15,Engagement of Alcohol or other Drug Treatment - DMC16,Reminders for Appointments - DMC17,Reminders for Immunizations - DMC18,Reminders for Screening Tests - DMC19,Computer Used during Office Visits - DMC20,Computer Use by Doctor Helpful - DMC21,Computer Use Made Talking with Doctor Easier - DMC22,Improving Bladder Control - DMC23,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Calls Disconnected When Customer Calls Drug Plan - DMD03,Call Center – Beneficiary Hold Time - DMD04,Drug-Drug Interactions - DMD05,Diabetes Medication Dosing - DMD06,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD07,MPF – Stability - DMD08,Rate of Chronic Use of Atypical Antipsychotics by Elderly Beneficiaries in Nursing Homes - DMD09,Getting Information from Drug Plan - DMD10,Call Center – Pharmacy Hold Time - DMD11,Plan Submitted Higher Prices for Display on MPF - DMD12,Transition monitoring - failure rate for drugs within classes of clinical concern - DMD13,Transition monitoring - failure rate for all other drugs - DMD14,Reminders to Fill prescriptions - DMD15,Reminders to Take Medications - DMD16,Enrollment Timeliness - DME01,Grievance Rate - DME02,"Disenrollment Reasons - Problems Getting Needed Care, Coverage, and Cost Information (MA-PD, MA-only) - DME03","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME04","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME05","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME06","Disenrollment Reasons - Problems Getting Information about Prescription Drugs (MA-PD, PDP) - DME07"
H0480,Meridian Complete,"MERIDIAN HEALTH PLAN OF MICHIGAN, INC.","Caidan Enterprises, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0490,Molina Healthcare of Ohio,"MOLINA HEALTHCARE OF OHIO, INC.","Molina Healthcare, Inc.,",Not enough data available,90%,Not enough data available,Not enough data available,89%,Not enough data available,Not enough data available,Not enough data available,0:10,55%,93%,3.17%,Not enough data available,Not enough data available,30%,7%,61%,44%,45%,82%,Not enough data available,59%,Not enough data available,No data available,No data available,3.17%,0:10,5.2%,0.59%,100%,100,No data available,Not enough data available,0:08,99,No data available,0.0%,59%,48%,No data available,No Data Available,18%,25%,14%,9%,13%
H0502,Contra Costa Health Plan,THE CONTRA COSTA HEALTH PLAN,Contra Costa Health Services,Not enough data available,24%,Benefit not offered by plan ,Benefit not offered by plan ,Benefit not offered by plan ,No data available,Not enough data available,No data available,Not enough data available,No data available,95%,Not enough data available,Benefit not offered by plan ,Benefit not offered by plan ,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,CMS Found Issues with Plan's Data,No data available,No data available,No data available,No data available,No data available
H0504,Blue Shield of California,CALIFORNIA PHYSICIANS' SERVICE,California Physicians' Service,25%,74%,49%,88%,91%,81%,34%,90%,0:34,74%,95%,1.54%,61%,72%,32%,2%,56%,43%,38%,83%,Not enough data available,57%,37%,89%,84.62%,1.54%,0:34,5.9%,0.98%,96%,99,10.90%,Not enough data available,0:21,98,6.7%,53.3%,45%,16%,74%,4.38,14%,32%,12%,8%,7%
H0523,Aetna Medicare,AETNA HEALTH OF CALIFORNIA INC.,Aetna Inc.,41%,84%,50%,93%,89%,76%,22%,Not enough data available,0:17,71%,95%,0.33%,65%,74%,49%,3%,59%,43%,35%,83%,Not enough data available,49%,44%,100%,No data available,0.33%,0:17,6.5%,0.69%,96%,98,16.44%,Not enough data available,0:17,95,0.0%,0.0%,41%,16%,95%,CMS Found Issues with Plan's Data,12%,20%,34%,17%,11%
H0524,Kaiser Permanente,"KAISER FOUNDATION HP, INC.","Kaiser Foundation Health Plan, Inc.",80%,56%,60%,95%,95%,84%,80%,92%,0:15,81%,96%,1.09%,82%,95%,34%,7%,68%,61%,45%,97%,96%,62%,34%,100%,100.00%,1.09%,0:15,2.8%,1.21%,100%,99,14.81%,79%,0:03,94,0.0%,0.0%,15%,15%,93%,4.55,16%,13%,37%,7%,12%
H0543,UnitedHealthcare,UHC OF CALIFORNIA,"UnitedHealth Group, Inc.",43%,85%,50%,84%,92%,76%,29%,Not enough data available,2:14,76%,95%,1.82%,70%,80%,14%,1%,59%,54%,36%,81%,Not enough data available,53%,35%,100%,100.00%,1.82%,2:14,5.8%,0.84%,100%,99,12.63%,Not enough data available,0:04,98,0.0%,0.0%,55%,16%,97%,4.57,26%,30%,30%,13%,19%
H0544,CareMore Health Plan,CAREMORE HEALTH PLAN,Anthem Inc.,50%,91%,41%,87%,94%,71%,35%,89%,0:03,71%,96%,0.30%,69%,85%,6%,0%,64%,55%,40%,81%,93%,58%,33%,100%,100.00%,0.30%,0:03,6.6%,0.28%,100%,98,7.94%,84%,0:05,98,0.0%,0.0%,46%,23%,99%,1.65,17%,22%,18%,13%,16%
H0545,Inter Valley Health Plan,"INTER VALLEY HEALTH PLAN, INC.",InterValley Health Plan,42%,90%,46%,85%,89%,80%,51%,89%,0:03,73%,96%,0.00%,72%,72%,7%,0%,51%,39%,38%,73%,Not enough data available,48%,37%,100%,No data available,0.00%,0:11,6.5%,0.53%,96%,99,11.84%,Not enough data available,0:08,99,0.0%,0.0%,37%,13%,98%,1.37,18%,25%,18%,11%,10%
H0562,Health Net of California,"HEALTH NET OF CALIFORNIA,INC.","Health Net, Inc.",46%,72%,47%,90%,91%,78%,30%,90%,0:04,69%,96%,2.24%,67%,84%,16%,2%,60%,49%,39%,87%,Not enough data available,57%,37%,86%,100.00%,2.24%,0:04,6.0%,0.12%,100%,101,11.17%,Not enough data available,0:13,98,6.7%,0.0%,44%,33%,98%,CMS Found Issues with Plan's Data,15%,21%,22%,11%,12%
H0564,Anthem Blue Cross,BLUE CROSS OF CALIFORNIA,Anthem Inc.,25%,80%,42%,90%,90%,69%,23%,Not enough data available,0:39,64%,89%,2.21%,61%,79%,11%,1%,Not enough data available,32%,29%,75%,Not enough data available,Not enough data available,26%,No data available,No data available,2.21%,0:39,5.9%,0.13%,100%,102,9.09%,Not enough data available,0:16,97,0.0%,0.0%,32%,13%,95%,1.56,14%,10%,50%,17%,14%
H0571,Chinese Community Health Plan,CHINESE COMMUNITY HEALTH PLAN,Chinese Hospital Association,Not enough data available,92%,44%,Not enough data available,88%,64%,15%,Not enough data available,0:05,59%,97%,12.78%,77%,91%,Not enough data available,Not enough data available,62%,74%,59%,63%,Not enough data available,58%,29%,0%,100.00%,12.78%,0:05,6.2%,0.60%,100%,98,3.57%,Not enough data available,0:03,99,No data available,No data available,35%,45%,No data available,CMS Found Issues with Plan's Data,No data available,No data available,No data available,No data available,No data available
H0602,Rocky Mountain Health Plans,ROCKY MOUNTAIN HEALTH MAINTENANCE ORGANIZATION,"Rocky Mountain HMO, Inc.",55%,58%,66%,76%,87%,82%,35%,90%,Not enough data available,81%,96%,Not enough data available,57%,61%,34%,4%,60%,32%,31%,89%,Not enough data available,46%,35%,No data available,No data available,No data available,No data available,5.9%,0.59%,96%,98,12.50%,Not enough data available,No data available,98,0.0%,0.0%,24%,9%,No data available,7.12,11%,7%,36%,7%,7%
H0609,UnitedHealthcare,"PACIFICARE OF COLORADO, INC","UnitedHealth Group, Inc.",53%,85%,55%,84%,92%,81%,42%,91%,2:07,76%,96%,1.87%,73%,80%,21%,2%,57%,37%,25%,84%,Not enough data available,51%,40%,100%,100.00%,1.87%,2:07,5.2%,1.07%,100%,98,9.94%,83%,0:04,97,0.0%,0.0%,45%,13%,96%,CMS Found Issues with Plan's Data,22%,29%,22%,11%,18%
H0620,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Not enough data available,85%,67%,Not enough data available,97%,62%,6%,No data available,0:34,No data available,99%,2.40%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,34%,No data available,No data available,2.40%,0:34,7.6%,1.12%,No data available,No data available,16.95%,No data available,0:04,98,No data available,0.0%,No data available,No data available,No data available,0.31,No data available,No data available,No data available,No data available,No data available
H0621,Colorado Access Advantage,COLORADO ACCESS,Colorado Access,78%,57%,55%,Not enough data available,91%,58%,46%,89%,0:03,65%,94%,1.39%,72%,85%,34%,3%,58%,46%,39%,92%,Not enough data available,55%,34%,100%,100.00%,1.39%,0:03,6.5%,0.22%,No data available,99,No data available,82%,0:05,95,No data available,No data available,40%,32%,98%,CMS Found Issues with Plan's Data,32%,26%,22%,21%,18%
H0624,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",64%,85%,51%,Not enough data available,92%,59%,17%,Not enough data available,0:46,69%,96%,2.05%,78%,78%,33%,1%,64%,47%,45%,90%,Not enough data available,46%,34%,100%,No data available,2.05%,0:46,8.7%,1.64%,100%,98,0.00%,Not enough data available,0:04,98,0.0%,0.0%,35%,22%,No data available,4.58,13%,18%,14%,4%,12%
H0630,Kaiser Permanente,KAISER FOUNDATION HP OF CO,"Kaiser Foundation Health Plan, Inc.",82%,88%,55%,98%,93%,83%,64%,92%,0:27,85%,94%,0.89%,75%,90%,25%,8%,55%,43%,39%,96%,96%,56%,42%,100%,No data available,0.89%,0:27,2.3%,0.75%,100%,99,17.22%,89%,0:03,92,No data available,0.0%,8%,9%,94%,2.62,24%,31%,21%,10%,19%
H0657,Colorado Choice Health Plans,COLORADO CHOICE HEALTH PLANS,Colorado Choice Health Plans,Not enough data available,92%,Not enough data available,Not enough data available,Not enough data available,62%,Not enough data available,Not enough data available,Not enough data available,72%,85%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,38%,17%,11%,79%,Not enough data available,52%,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,No Data Available,17%,2%,25%,No data available,No data available
H0710,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Not enough data available,85%,73%,Not enough data available,97%,Not enough data available,Not enough data available,No data available,0:32,No data available,100%,2.48%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,Not enough data available,No data available,No data available,2.48%,0:32,7.2%,0.00%,100%,No data available,17.89%,No data available,0:04,100,No data available,0.0%,No data available,No data available,No data available,0.34,No data available,No data available,No data available,No data available,No data available
H0712,WellCare,"WELLCARE OF CONNECTICUT, INC.","WellCare Health Plans, Inc.",52%,82%,48%,91%,94%,65%,41%,Not enough data available,0:10,61%,96%,2.45%,74%,86%,39%,6%,66%,53%,50%,84%,Not enough data available,58%,26%,67%,No data available,2.45%,0:10,5.5%,0.21%,100%,99,27.27%,Not enough data available,0:07,98,0.0%,26.7%,45%,42%,98%,4.16,31%,42%,16%,18%,23%
H0735,EssentiaCare,UCARE MINNESOTA,UCare Minnesota,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0755,UnitedHealthcare,"OXFORD HEALTH PLANS (CT), INC.","UnitedHealth Group, Inc.",67%,85%,55%,93%,91%,74%,38%,Not enough data available,0:37,70%,96%,1.90%,76%,82%,43%,6%,59%,50%,39%,75%,Not enough data available,40%,37%,100%,100.00%,1.90%,0:37,4.7%,1.08%,100%,98,18.04%,Not enough data available,0:04,99,0.0%,0.0%,49%,18%,96%,6.61,14%,58%,17%,7%,9%
H0773,Health Alliance Connect,HEALTH ALLIANCE CONNECT,The Carle Foundation,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,0:36,70%,No data available,0.57%,No data available,No data available,No data available,No data available,56%,36%,34%,90%,Plan too new to be measured,51%,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0811,GuildNet Gold Plus FIDA,"GUILDNET, INC.",Lighthouse Guild International,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
