2017 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organizatoin Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Appropriate Monitoring of Patients Taking Long-term Medications - DMC04,Osteoporosis Testing - DMC05,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC06,Doctors who Communicate Well - DMC07,Call Center – Beneficiary Hold Time - DMC08,Pneumonia Vaccine - DMC09,Access to Primary Care Doctor Visits - DMC10,Calls Disconnected When Customer Calls Health Plan  - DMC11,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC12,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC13,Initiation of Alcohol or other Drug Treatment - DMC14,Engagement of Alcohol or other Drug Treatment - DMC15,Reminders for Appointments - DMC16,Reminders for Immunizations - DMC17,Reminders for Screening Tests - DMC18,Computer Used during Office Visits - DMC19,Computer Use by Doctor Helpful - DMC20,Computer Use Made Talking with Doctor Easier - DMC21,Improving Bladder Control - DMC22,Medication Reconciliation Post Discharge - DMC23,Hospitalization for Potentially Preventable Complications - DMC24,Statin Therapy for Patients with Cardiovascular Disease - DMC25,Medication Management for People With Asthma - DMC26,Asthma Medication Ratio - DMC27,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Calls Disconnected When Customer Calls Drug Plan  - DMD03,Call Center – Beneficiary Hold Time - DMD04,Drug-Drug Interactions - DMD05,Diabetes Medication Dosing - DMD06,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD07,MPF – Stability - DMD08,Rate of Chronic Use of Atypical Antipsychotics by Elderly Beneficiaries in Nursing Homes - DMD09,Getting Information from Drug Plan - DMD10,Call Center – Pharmacy Hold Time - DMD11,Plan Submitted Higher Prices for Display on MPF - DMD12,Transition monitoring - failure rate for drugs within classes of clinical concern - DMD13,Transition monitoring - failure rate for all other drugs - DMD14,Reminders to Fill prescriptions - DMD15,Reminders to Take Medications - DMD16,Statin Use in Persons with Diabetes (SUPD) - DMD17,Enrollment Timeliness - DME01,Grievance Rate - DME02,"Disenrollment Reasons - Problems Getting Needed Care, Coverage, and Cost Information (MA-PD, MA-only) - DME03","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME04","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME05","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME06","Disenrollment Reasons - Problems Getting Information about Prescription Drugs (MA-PD, PDP) - DME07"
H0523,Aetna Medicare,AETNA HEALTH OF CALIFORNIA INC.,Aetna Inc.,16%,58%,83%,91%,74%,18%,88%,1:01,69%,95%,0.68%,66%,73%,86%,5%,56%,46,31,83,Not enough data available,55,44%,14%,25,59%,63%,60%,100%,100.00%,0.68%,1:01,6%,0.82%,100%,99,8.33%,Not enough data available,0:42,97,0.0%,0.0%,41,15,73%,96%,2.27,22%,34%,19%,11%,17%
H0524,Kaiser Permanente,"KAISER FOUNDATION HP, INC.","Kaiser Foundation Health Plan, Inc.",77%,60%,96%,95%,88%,67%,92%,0:24,85%,96%,1.59%,83%,94%,36%,7%,68%,63,43,97,96,62,49%,95%,28,69%,55%,88%,96%,100.00%,1.59%,0:24,3%,1.04%,100%,98,14.67%,82,0:40,96,0.0%,0.0%,16,16,88%,94%,4.28,26%,21%,24%,11%,22%
H0543,UnitedHealthcare,UHC OF CALIFORNIA,"UnitedHealth Group, Inc.",45%,50%,90%,92%,79%,29%,Not enough data available,0:27,79%,95%,0.69%,73%,82%,15%,1%,65%,61,41,87,Not enough data available,55,50%,16%,30,65%,54%,77%,99%,100.00%,0.69%,0:27,5%,0.33%,100%,99,10.48%,Not enough data available,0:10,98,No data available,No data available,51,22,74%,97%,CMS identified issues with this plan's data,17%,24%,27%,14%,13%
H0544,CareMore Health Plan,CAREMORE HEALTH PLAN,Anthem Inc.,51%,43%,92%,95%,65%,38%,89%,0:16,69%,96%,0.23%,74%,85%,6%,0%,62%,55,35,77,95,57,47%,13%,23,70%,56%,63%,50%,50.00%,0.23%,0:16,6%,0.24%,96%,98,8.57%,84,0:22,99,0.0%,0.0%,43,24,75%,99%,5.00,26%,30%,18%,14%,22%
H0545,Inter Valley Health Plan,"INTER VALLEY HEALTH PLAN, INC.",InterValley Health Plan,53%,43%,88%,89%,79%,39%,89%,0:11,80%,97%,0.78%,70%,79%,8%,0%,54%,47,34,76,Not enough data available,55,42%,28%,18,59%,47%,83%,100%,No data available,0.00%,0:22,6%,0.39%,100%,99,8.60%,84,0:22,99,No data available,No data available,39,13,72%,98%,1.01,17%,25%,19%,15%,12%
H0562,Health Net of California,"HEALTH NET OF CALIFORNIA,INC.",Centene Corporation,42%,49%,87%,93%,76%,32%,89%,0:39,70%,96%,1.20%,68%,81%,13%,1%,62%,50,44,86,Not enough data available,52,50%,16%,27,68%,51%,77%,93%,94.44%,1.20%,0:39,5%,0.10%,100%,98,11.29%,Not enough data available,0:04,99,0.0%,6.7%,43,27,75%,99%,2.30,15%,22%,20%,7%,10%
H0564,Anthem Blue Cross,BLUE CROSS OF CALIFORNIA,Anthem Inc.,31%,58%,90%,89%,68%,25%,Not enough data available,0:29,68%,89%,0.79%,58%,78%,20%,2%,56%,45,34,78,Not enough data available,Not enough data available,42%,24%,23,67%,81%,70%,No data available,No data available,0.79%,0:29,5%,0.28%,100%,98,24.14%,Not enough data available,0:20,98,0.0%,0.0%,36,15,74%,94%,CMS identified issues with this plan's data,39%,43%,31%,22%,31%
H0571,Chinese Community Health Plan,CHINESE COMMUNITY HEALTH PLAN,Chinese Hospital Association,Not enough data available,44%,Not enough data available,90%,63%,11%,85%,0:16,56%,96%,0.00%,86%,94%,10%,0%,67%,73,55,73,Not enough data available,43,41%,49%,59,75%,Not enough data available,Not enough data available,0%,100.00%,0.00%,0:16,5%,0.36%,96%,No data available,0.00%,Not enough data available,0:09,99,No data available,0.0%,38,46,78%,100%,0.53,23%,38%,19%,10%,18%
H0602,Rocky Mountain Health Plans,ROCKY MOUNTAIN HEALTH MAINTENANCE ORGANIZATION,"Rocky Mountain HMO, Inc.",61%,75%,85%,87%,83%,36%,91%,Not enough data available,82%,96%,Not enough data available,60%,65%,31%,3%,60%,27,28,88,Not enough data available,46,45%,22%,Insufficient data,68%,57%,90%,75%,100.00%,No data available,No data available,6%,0.44%,100%,100,4.17%,Not enough data available,No data available,98,0.0%,6.7%,21,9,69%,No data available,7.66,16%,7%,41%,8%,7%
H0609,UnitedHealthcare,"PACIFICARE OF COLORADO, INC","UnitedHealth Group, Inc.",61%,54%,89%,91%,83%,41%,93%,0:17,84%,96%,0.74%,74%,77%,27%,2%,56%,46,31,90,Not enough data available,49,43%,14%,33,72%,57%,84%,100%,100.00%,0.74%,0:17,4%,0.41%,100%,99,11.28%,Not enough data available,0:10,97,No data available,No data available,38,12,74%,97%,CMS identified issues with this plan's data,22%,21%,12%,8%,10%
H0624,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",74%,46%,Not enough data available,93%,57%,31%,Not enough data available,0:05,68%,96%,1.27%,71%,83%,36%,4%,62%,57,47,89,Not enough data available,52,49%,15%,47,82%,47%,52%,100%,No data available,1.27%,0:05,7%,0.21%,100%,99,No data available,Not enough data available,0:10,99,No data available,No data available,47,34,74%,No data available,5.76,19%,22%,14%,7%,15%
H0630,Kaiser Permanente,KAISER FOUNDATION HP OF CO,"Kaiser Foundation Health Plan, Inc.",75%,63%,100%,96%,77%,54%,91%,0:54,89%,95%,0.80%,83%,93%,30%,9%,64%,53,45,95,95,56,50%,90%,49,68%,60%,77%,100%,No data available,0.80%,0:54,2%,0.48%,100%,99,17.25%,83,0:40,95,0.0%,6.7%,13,14,83%,94%,3.32,26%,19%,8%,13%,20%
H0657,Colorado Choice Health Plans,COLORADO CHOICE HEALTH PLANS,Colorado Choice Health Plans,Not enough data available,Not enough data available,Not enough data available,Not enough data available,67%,Not enough data available,Not enough data available,Not enough data available,69%,87%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,37%,22,15,86,Not enough data available,50,Not enough data available,0%,27,Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,0.30,No data available,No data available,No data available,No data available,No data available
H0710,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",16%,79%,Not enough data available,100%,Not enough data available,11%,No data available,0:11,No data available,100%,1.14%,Not enough data available,Not enough data available,71%,0%,No data available,No data available,No data available,No data available,No data available,No data available,Not enough data available,CMS Found Issues with Plan’s Data,Insufficient data,63%,Not enough data available,Not enough data available,100%,No data available,1.14%,0:11,8%,0.16%,100%,No data available,18.45%,No data available,0:10,99,No data available,No data available,No data available,No data available,81%,No data available,0.09,No data available,No data available,No data available,No data available,No data available
H0712,WellCare,"WELLCARE OF CONNECTICUT, INC.","WellCare Health Plans, Inc.",47%,39%,95%,94%,71%,37%,89%,0:20,68%,95%,0.39%,75%,87%,47%,10%,60%,53,48,86,Not enough data available,58,41%,8%,81,79%,53%,70%,88%,100.00%,0.39%,0:20,5%,0.16%,100%,99,21.05%,74,0:18,99,No data available,No data available,46,38,78%,97%,4.28,19%,28%,21%,18%,11%
H0735,EssentiaCare,UCARE MINNESOTA,UCare Minnesota,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,1:13,Plan too new to be measured,Plan too new to be measured,10.94%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0755,UnitedHealthcare,"OXFORD HEALTH PLANS (CT), INC.","UnitedHealth Group, Inc.",64%,54%,94%,91%,80%,34%,92%,0:16,79%,96%,0.78%,79%,82%,41%,3%,62%,55,41,83,Not enough data available,51,47%,14%,56,80%,54%,80%,100%,100.00%,0.78%,0:16,4%,0.32%,100%,99,19.14%,Not enough data available,0:10,99,No data available,No data available,50,19,78%,97%,CMS identified issues with this plan's data,24%,43%,26%,13%,14%
H0811,GuildNet Gold Plus FIDA,"GUILDNET, INC.",Jewish Guild for the Blind,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,Not enough data available,1:14,74%,100%,0.78%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,52%,53,43,85,Not enough data available,Not enough data available,No data available,28%,Insufficient data,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,0.80%,1:06,7%,0.00%,100%,101,No data available,Not enough data available,0:41,98,No data available,0.0%,50,29,73%,No data available,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available
H0838,Brand New Day,"UNIVERSAL CARE, INC.","Universal Care, Inc",62%,29%,Not enough data available,83%,Not enough data available,69%,Not enough data available,0:20,42%,93%,2.38%,55%,79%,24%,2%,55%,48,37,Not enough data available,Not enough data available,Not enough data available,Not enough data available,26%,22,76%,Not enough data available,62%,50%,100.00%,2.38%,0:20,5%,0.27%,96%,100,33.33%,Not enough data available,0:09,99,0.0%,0.0%,47,37,72%,88%,CMS identified issues with this plan's data,43%,48%,14%,16%,33%
H0840,FamilyCare Health,"FAMILYCARE HEALTH PLANS, INC.",FamilyCare Incorporated,Not enough data available,Not enough data available,Not enough data available,90%,No data available,Not enough data available,No data available,0:04,No data available,85%,1.27%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Not enough data available,Insufficient data,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,1.27%,0:04,No data available,No data available,100%,100,No data available,No data available,0:12,99,No data available,No data available,No data available,No data available,No data available,No data available,CMS identified issues with this plan's data,No data available,No data available,No data available,No data available,No data available
H0879,CrestPoint Health Insurance Company,CRESTPOINT HEALTH INSURANCE COMPANY,Mountain States Health Alliance,58%,53%,Not enough data available,92%,79%,Not enough data available,94%,0:19,76%,93%,1.27%,74%,71%,24%,1%,52%,43,36,87,Not enough data available,49,45%,44%,61,69%,Not enough data available,Not enough data available,67%,100.00%,1.27%,0:19,8%,0.25%,No data available,101,No data available,Not enough data available,0:10,99,No data available,No data available,28,18,71%,93%,No Data Available,No data available,No data available,No data available,No data available,No data available
H0908,Buckeye Health Plan,"BUCKEYE COMMUNITY HEALTH PLAN, INC.",Centene Corporation,28%,44%,Not enough data available,92%,Not enough data available,Not enough data available,Not enough data available,0:16,64%,96%,0.00%,69%,78%,39%,6%,61%,58,54,93,Not enough data available,54,Not enough data available,14%,Insufficient data,73%,Not enough data available,Not enough data available,100%,No data available,0.00%,0:16,8%,0.00%,100%,103,No data available,Not enough data available,0:43,98,No data available,No data available,52,43,80%,No data available,13.16,No data available,No data available,No data available,No data available,No data available
H0913,WellCare,"WELLCARE HEALTH PLANS OF NEW JERSEY, INC.","WellCare Health Plans, Inc.",Not enough data available,Not enough data available,Not enough data available,92%,66%,Not enough data available,Not enough data available,0:24,55%,91%,1.57%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,57%,43,48,83,Not enough data available,58,Not enough data available,10%,81,74%,Not enough data available,Not enough data available,No data available,No data available,0.79%,0:18,2%,0.20%,100%,101,No data available,Not enough data available,0:18,99,No data available,No data available,42,33,76%,100%,4.61,24%,35%,25%,15%,18%
H0927,Blue Cross Community MMAI,HEALTH CARE SERVICE CORPORATION,Health Care Service Corporation,34%,37%,Not enough data available,90%,No data available,Not enough data available,92%,0:17,51%,89%,1.61%,70%,85%,44%,4%,62%,50,43,88,Not enough data available,59,No data available,5%,Insufficient data,Not enough data available,Not enough data available,Not enough data available,79%,100.00%,1.61%,0:17,5%,0.25%,100%,99,21.65%,Not enough data available,0:03,99,No data available,No data available,42,31,77%,No data available,1.85,No data available,No data available,No data available,No data available,No data available
H1016,AvMed Medicare,"AVMED, INC.","AvMed, Inc.",51%,52%,90%,96%,86%,43%,93%,1:18,68%,97%,0.77%,70%,87%,18%,1%,55%,51,41,80,Not enough data available,55,45%,9%,49,77%,51%,87%,85%,75.00%,0.77%,1:18,6%,0.32%,92%,99,No data available,82,0:10,99,No data available,No data available,48,28,74%,99%,3.49,18%,26%,29%,11%,9%
H1019,"CarePlus Health Plans, Inc.","CAREPLUS HEALTH PLANS, INC.",Humana Inc.,42%,58%,95%,96%,80%,34%,90%,0:12,59%,97%,0.79%,74%,85%,13%,1%,70%,65,53,91,91,62,46%,45%,31,70%,61%,63%,86%,100.00%,0.79%,0:12,5%,0.85%,100%,99,11.67%,80,0:23,99,0.0%,6.7%,47,35,79%,94%,CMS identified issues with this plan's data,20%,44%,19%,12%,15%
H1026,Florida Blue HMO,"HEALTH OPTIONS, INC.",Guidewell Mutual Holding Corporation,62%,60%,89%,95%,86%,43%,91%,0:52,71%,96%,1.24%,72%,71%,26%,1%,58%,42,37,87,Not enough data available,46,45%,13%,55,70%,57%,85%,90%,100.00%,1.24%,0:52,5%,0.28%,100%,100,11.11%,84,0:04,98,0.0%,0.0%,43,11,75%,95%,4.68,21%,28%,32%,11%,12%
H1032,WellCare,"WELLCARE OF FLORIDA, INC.","WellCare Health Plans, Inc.",44%,50%,89%,96%,75%,39%,90%,0:17,61%,95%,0.31%,71%,79%,23%,2%,65%,53,51,90,94,58,42%,16%,49,65%,48%,67%,96%,93.75%,0.31%,0:17,6%,0.14%,100%,100,21.62%,Not enough data available,0:18,97,No data available,No data available,46,39,76%,98%,4.84,21%,33%,23%,13%,13%
H1035,Florida Health Care Plans,"FLORIDA HEALTH CARE PLAN, INC.",Guidewell Mutual Holding Corporation,76%,51%,87%,96%,89%,62%,92%,0:42,79%,99%,1.58%,75%,86%,28%,3%,67%,47,44,93,Not enough data available,44,47%,3%,47,62%,Not enough data available,50%,No data available,No data available,0.79%,0:22,7%,0.50%,96%,98,No data available,88,0:11,99,6.7%,40.0%,13,11,74%,99%,2.01,12%,22%,35%,9%,12%
