2020 Domain Star View: Medicare Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,"HD1: Staying Healthy: Screenings, Tests and Vaccines",HD2: Managing Chronic (Long Term) Conditions,HD3: Member Experience with Health Plan,HD4: Member Complaints and Changes in the Health Plan's Performance,HD5: Health Plan Customer Service,DD1: Drug Plan Customer Service,DD2: Member Complaints and Changes in the Drug Plan’s Performance,DD3: Member Experience with the Drug Plan,DD4: Drug Safety and Accuracy of Drug Pricing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1468,Local CCP,"Humana Benefit Plan Of Illinois, Inc.",Humana,Humana Inc.,4,4,3,4,5,5,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1475,Local CCP,Illinicare Health Plan,Allwell,Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1537,Local CCP,Care Improvement Plus South Central Insurance Co,UnitedHealthcare,"UnitedHealth Group, Inc.",5,4,4,4,Not enough data available,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1587,Local CCP,"Arkansas Superior Select, Inc.",Superior Select Health Plans,"Select Founders, LLC",Not enough data available,3,Not enough data available,4,Not enough data available,5,4,Not enough data available,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1607,Local CCP,"Anthem Insurance Companies, Inc.",Anthem Blue Cross and Blue Shield,Anthem Inc.,4,3,3,4,5,5,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1608,Local CCP,Coventry Health And Life Insurance Company,Aetna Medicare,CVS Health Corporation,3,3,3,4,5,5,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1609,Local CCP,Aetna Health Inc. (fl),Aetna Medicare,CVS Health Corporation,4,4,4,4,4,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1610,Local CCP,Coventry Health Care Of Virginia,Aetna Better Health of Virginia,CVS Health Corporation,Not enough data available,Not enough data available,4,Not enough data available,Not enough data available,Not enough data available,Not enough data available,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1644,Local CCP,Longevity Health Plan Of Florida Inc.,Longevity Health Plan,"Longevity Health Founders, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1651,1876 Cost,"Medical Associates Health Plan, Inc.","Medical Associates Health Plan, Inc.","Medical Associates Clinic, P.C.",4,4,5,4,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1659,Local CCP,"Piedmont Community Healthcare, Inc.",Piedmont Medicare Advantage,Piedmont Community Health Plan,3,3,4,4,4,5,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1660,Local CCP,Harvard Pilgrim Health Care Inc.,"Harvard Pilgrim Health Care, Inc.","Harvard Pilgrim Health Care, Inc.",4,3,4,5,4,4,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1664,Local CCP,"Home State Health Plan, Inc.",Allwell,Centene Corporation,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1666,Local CCP,Hcsc Insurance Services Company,Blue Cross and Blue Shield of Texas,Health Care Service Corporation,4,3,2,4,3,4,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1692,Local CCP,"Coventry Health Care Of West Virginia, Inc.",Aetna Medicare,CVS Health Corporation,2,3,4,4,4,5,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1722,Local CCP,"Health Pointe Of New York, Llc","Health Pointe of New York, LLC","Independent Living Systems, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1723,Demo,"Absolute Total Care, Inc.",Absolute Total Care,Centene Corporation,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1737,Local CCP,"Health Alliance - Midwest, Inc.",Health Alliance Medicare,The Carle Foundation,4,Not enough data available,4,Not enough data available,Not enough data available,Not enough data available,Not enough data available,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1777,Local CCP,"Catholic Special Needs Plan, Llc",ArchCare Advantage,Catholic Health Care System,3,4,Not enough data available,3,Not enough data available,4,3,Not enough data available,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1787,Local CCP,"Good Samaritan Insurance Plan Of South Dakota, Inc",Great Plains Medicare Advantage,Sanford Health,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1846,Local CCP,Mount Carmel Health Insurance Company,MediGold,Trinity Health,4,Not enough data available,5,Not enough data available,Not enough data available,Not enough data available,Not enough data available,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1889,Local CCP,"Unitedhealthcare Of Florida, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1894,Local CCP,"Amerigroup Washington, Inc.",AMERIGROUP,Anthem Inc.,3,3,2,3,Not enough data available,5,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1914,Local CCP,Wellcare Health Insurance Of Connecticut,WellCare,"WellCare Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1924,MSA,"Port Holdings, Inc.",Lasso Healthcare,"Port Holdings, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1944,Local CCP,"Unitedhealthcare Of New England, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",4,4,3,4,5,5,5,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1947,Local CCP,"Community Care Health Plan Of Louisiana, Inc.",Healthy Blue,Anthem Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1951,Local CCP,"Humana Health Benefit Plan Of Louisiana, Inc.",Humana,Humana Inc.,4,4,5,4,4,4,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1961,Local CCP,"Peoples Health, Inc.",Peoples Health,"UnitedHealth Group, Inc.",4,4,4,4,4,4,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1969,Local CCP,Regence Blueshield Of Idaho,Regence BlueShield of Idaho,"Cambia Health Solutions, Inc.",3,4,5,4,Not enough data available,5,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1977,Demo,"Upper Peninsula Health Plan, Llc",Upper Peninsula Health Plan (UPHP) MI Health Link,"DLP Marquette General Hospital, LLC",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1994,Local CCP,"Selecthealth, Inc.",SelectHealth,"Intermountain Health Care, Inc.",4,4,5,4,5,3,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H1997,Local CCP,Regence Blueshield,Regence BlueShield,"Cambia Health Solutions, Inc.",5,3,4,4,5,5,4,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2001,Local CCP,"Sierra Health And Life Insurance Company, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",4,4,4,5,5,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2011,Local CCP,Bright Health Insurance Company Of Tennessee,Bright Health,"Bright Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2020,Local CCP,Delaware Life Insurance Company,Clear Spring Health,Delaware Life Insurance Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2029,Local CCP,"Humana Insurance Of Puerto Rico, Inc.",Humana,Humana Inc.,4,4,3,4,Not enough data available,5,4,Not enough data available,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2032,Local CCP,Insurance Company Of Scott And White,Scott and White Health Plan,Baylor Scott & White Holdings,5,Not enough data available,4,4,Not enough data available,4,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2034,Local CCP,"Community Care Health Plan, Inc.",Community Care,"Community Care, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2056,Local CCP,Aetna Better Health Of Michigan Inc.,Aetna Medicare,CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2108,Local CCP,"Bravo Health Mid-atlantic, Inc.",Cigna,CIGNA,4,4,3,4,4,4,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2120,Local CCP,"Securitycare Of Tennessee, Inc.",BlueEssential,BlueCross BlueShield of Tennessee,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2134,Local CCP,"Western Sky Community Care, Inc.",Allwell,Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2150,1876 Cost,Kaiser Fndn Hp Of The Mid-atlantic Sts,Kaiser Permanente,"Kaiser Foundation Health Plan, Inc.",5,4,4,5,3,Not enough data available,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2161,Local CCP,"Upper Peninsula Health Plan, Llc",Upper Peninsula Health Plan,"DLP Marquette General Hospital, LLC",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2162,Local CCP,"Wellcare Of New Hampshire, Inc.",WellCare,"WellCare Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2168,Local CCP,Village Senior Services Corporation,VillageCareMAX,"Village Care of New York, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,3,Not enough data available,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2171,Local CCP,"Care N' Care Insurance Company, Inc.",Care N' Care Insurance Company,Texas Health Resources,4,Not enough data available,3,4,Not enough data available,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2172,Local CCP,Kaiser Fdtn Hlth Plan Of The Mid-atlantic States,Kaiser Permanente,"Kaiser Foundation Health Plan, Inc.",5,5,4,4,Not enough data available,5,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2174,Local CCP,Trillium Community Health Plan,Trillium Medicare Advantage,Centene Corporation,3,4,2,5,Not enough data available,3,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2185,Local CCP,"Lifeworks Advantage, Llc",LifeWorks Advantage,"MFA Lifeworks, LLC",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2224,Local CCP,"Senior Whole Health, Llc",Senior Whole Health,"Magellan Health, Inc.",4,4,3,4,4,5,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2225,Local CCP,"Commonwealth Care Alliance, Inc.","Commonwealth Care Alliance, Inc.","Commonwealth Care Alliance, Inc.",4,5,4,5,4,3,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2226,Local CCP,Unitedhealthcare Insurance Company,UnitedHealthcare,"UnitedHealth Group, Inc.",4,4,4,5,Not enough data available,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2228,Local CCP,Unitedhealthcare Insurance Company,UnitedHealthcare,"UnitedHealth Group, Inc.",4,4,3,5,5,5,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2230,Local CCP,"Bcbs  Of Massachusetts Hmo Blue, Inc.",Blue Cross Blue Shield of Massachusetts,"Blue Cross and Blue Shield of Massachusetts, Inc.",4,4,3,4,5,4,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2235,Local CCP,"Baycare Select Health Plans, Inc.",BayCare Health Plans,"BayCare Health System, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2237,Local CCP,"Independent Care Health Plan, Inc.",iCare,Independent Care Health Plan Inc.,3,4,4,3,4,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2241,Local CCP,Golden State Medicare Health Plan,Golden State,Golden State Medicare Health Plan,3,4,2,3,2,3,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2247,Local CCP,"Unitedhealthcare Community Plan, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2256,Local CCP,Tufts Associated Health Maintenance Organization,Tufts Health Plan,"Tufts Health Plan, Inc",4,5,5,5,5,5,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2261,Local CCP,"Bcbs  Of Massachusetts Hmo Blue, Inc.",Blue Cross Blue Shield of Massachusetts,"Blue Cross and Blue Shield of Massachusetts, Inc.",3,4,4,4,5,5,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2288,Local CCP,Bright Health Insurance Company Of New York,Bright Health,"Bright Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2292,Local CCP,"Oxford Health Insurance, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2320,Local CCP,Priority Health,Priority Health Medicare,Spectrum Health System,4,4,4,4,4,4,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2322,Local CCP,Alliance Health And Life Insurance Company,HAP Senior Plus (PPO),Henry Ford Health System,4,3,4,4,Not enough data available,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2334,Local CCP,"Eon Health, Inc. (sc)",Clear Spring Health,Delaware Life Insurance Company,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2354,Local CCP,Health Alliance Plan Of Michigan,HAP Senior Plus,Henry Ford Health System,4,4,4,5,4,4,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2392,Local CCP,"Kansas Superior Select, Inc.",Kansas Health Advantage,Kansas Superior Select,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2400,Local CCP,"Signature Advantage, Llc",Signature Advantage (HMO SNP),"SA Plan, LLC",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2406,Local CCP,Unitedhealthcare Insurance Company,UnitedHealthcare,"UnitedHealth Group, Inc.",4,4,2,3,5,5,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2416,Local CCP,Primewest Rural Mn Health Care Access Initiative,PrimeWest Health,PrimeWest Rural MN Health Care Access Initiative,3,4,5,5,Not enough data available,4,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2417,Local CCP,Itasca Medical Care,Itasca Medical Care/IMCare Classic,Itasca County,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2419,Local CCP,South Country Health Alliance,South Country Health Alliance,South Country Health Alliance,3,4,5,5,Not enough data available,5,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2422,Local CCP,"Healthpartners, Inc.",HealthPartners,"HealthPartners, Inc.",4,4,5,5,Not enough data available,5,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2425,Local CCP,Blue Plus,Blue Plus,"Aware Integrated, Inc.",4,4,4,5,Not enough data available,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2446,Local CCP,Blue Cross And Blue Shield Of Minnesota,Blue Cross and Blue Shield of Minnesota,"Aware Integrated, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
