2020 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Osteoporosis Testing - DMC04,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC05,Doctors who Communicate Well - DMC06,Call Center – Beneficiary Hold Time - DMC07,Pneumonia Vaccine - DMC08,Access to Primary Care Doctor Visits - DMC09,Call Center - Calls Disconnected When Customer Calls Health Plan - DMC10,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC11,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC12,Initiation of Alcohol or other Drug Treatment - DMC13,Engagement of Alcohol or other Drug Treatment - DMC14,Hospitalization for Potentially Preventable Complications - DMC15,Plan Makes Timely Decisions about Appeals - DMC16,Controlling High Blood Pressure - DMC17,Follow-up after Emergency Department Visit for Patients with Mulitple Chronic Conditions - DMC18,Transitions of Care -  Medication Reconciliation Post-Discharge - DMC19,Transitions of Care - Notification of Inpatient Admission - DMC20,Transitions of Care - Patient Engagement After Inpatient Discharge - DMC21,Transitions of Care - Receipt of Discharge Information - DMC22,Transitions of Care - Average - DMC23,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Call Center - Calls Disconnected When Customer Calls Drug Plan - DMD03,Call Center – Beneficiary Hold Time - DMD04,Drug-Drug Interactions - DMD05,Diabetes Medication Dosing - DMD06,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD07,MPF – Stability - DMD08,Call Center – Pharmacy Hold Time - DMD09,Plan Submitted Higher Prices for Display on MPF - DMD10,Reminders to Fill Prescriptions - DMD11,Reminders to Take Medications - DMD12,High Risk Medication - DMD13,Antipsychotic Use in Persons with Dementia - DMD14,Antipsychotic Use in Persons with Dementia - for Community-Only Residents - DMD15,Antipsychotic Use in Persons with Dementia - for Long-Term Nursing Home Residents - DMD16,Use of Opioids at High Dosage and from Multiple Providers - DMD17,MPF Price Accuracy - DMD18,Grievance Rate - DME01,"Disenrollment Reasons - Problems Getting Needed Care, Coverage, and Cost Information (MA-PD, MA-only) - DME02","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME03","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME04","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME05","Disenrollment Reasons - Problems Getting Information and Help from the Plan (MA-PD, PDP) - DME06",Beneficiary Access and Performance Problems - DME07
H0545,Inter Valley Health Plan,"Inter Valley Health Plan, Inc.",InterValley Health Plan,57%,45%,77%,77%,44%,Not enough data available,00:14,72%,97%,0.00%,70%,82%,8%,0%,21,96%,87%,60%,90%,50%,89%,45%,68%,No data available,No data available,0.00%,00:29,3%,0.38%,100%,100,00:15,84,50%,26%,8%,7%,7%,8%,0.00,97,1.33,14%,31%,10%,11%,10%,100
H0562,Health Net of California,"Health Net Of California,inc.",Centene Corporation,49%,55%,85%,75%,28%,89,00:37,73%,95%,2.76%,69%,82%,16%,1%,28,92%,69%,55%,50%,5%,84%,0%,35%,71%,89.47%,2.76%,00:37,2%,0.01%,100%,100,00:09,95,58%,37%,7%,10%,9%,9%,0.07,94,1.94,20%,22%,21%,13%,14%,100
H0571,Chinese Community Health Plan,Chinese Community Health Plan,Chinese Hospital Association,Not enough data available,59%,Not enough data available,52%,13%,Not enough data available,00:20,60%,95%,0.00%,80%,90%,Not enough data available,Not enough data available,28,96%,79%,62%,74%,37%,91%,21%,56%,No data available,No data available,0.00%,00:20,1%,0.37%,100%,101,00:08,93,48%,66%,8%,3%,4%,No data available,0.00,98,0.75,22%,41%,36%,Not Available,10%,100
H0602,Rocky Mountain Health Plans,Rocky Mountain Health Maintenance Organization,"UnitedHealth Group, Inc.",Not enough data available,Benefit not offered by plan ,Plan not required to report measure,83%,36%,90,Plan not required to report measure,81%,96%,Plan not required to report measure,Benefit not offered by plan ,Benefit not offered by plan ,Benefit not offered by plan ,Benefit not offered by plan ,Plan not required to report measure,97%,69%,59%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,6.66,12%,11%,35%,Not Applicable,Not Applicable,100
H0609,UnitedHealthcare,"Pacificare Of Colorado, Inc.","UnitedHealth Group, Inc.",45%,58%,82%,88%,48%,90,00:44,81%,96%,1.87%,73%,77%,23%,2%,35,98%,72%,58%,57%,19%,83%,3%,41%,98%,100.00%,1.87%,00:44,3%,0.03%,96%,101,00:26,94,51%,20%,9%,9%,9%,13%,1.32,94,4.71,18%,24%,20%,8%,14%,100
H0624,UnitedHealthcare,Unitedhealthcare Insurance Company,"UnitedHealth Group, Inc.",53%,52%,Not enough data available,65%,28%,90,00:33,67%,97%,0.00%,68%,79%,33%,4%,30,100%,76%,55%,54%,5%,79%,0%,34%,No data available,No data available,0.00%,00:33,3%,0.09%,96%,100,00:26,95,54%,40%,17%,8%,7%,No data available,3.41,95,4.86,21%,31%,12%,Not Available,17%,100
H0628,Aetna Medicare,Aetna Health Of Ohio Inc.,CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0630,Kaiser Permanente,Kaiser Foundation Hp Of Co,"Kaiser Foundation Health Plan, Inc.",71%,79%,95%,82%,53%,92,00:28,86%,95%,0.79%,81%,95%,41%,9%,37,95%,83%,62%,92%,93%,97%,93%,94%,No data available,No data available,0.79%,00:28,2%,0.39%,100%,102,00:07,51,38%,21%,6%,10%,10%,17%,0.36,99,2.86,22%,30%,23%,7%,16%,100
H0657,Friday Health Plans of Colorado,"Friday Health Plans Of Colorado, Inc.","Friday Health Plans, Inc.",Not enough data available,Benefit not offered by plan ,Plan not required to report measure,58%,Not enough data available,No data available,Plan not required to report measure,No data available,89%,Plan not required to report measure,Benefit not offered by plan ,Benefit not offered by plan ,Benefit not offered by plan ,Benefit not offered by plan ,Plan not required to report measure,Not enough data available,55%,48%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0.00,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,100
H0672,Cigna,"Cigna Healthcare Of Colorado, Inc.",CIGNA,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0710,UnitedHealthcare,"Sierra Health And Life Insurance Company, Inc.","UnitedHealth Group, Inc.",7%,77%,Not enough data available,Not enough data available,6%,No data available,00:32,No data available,99%,2.42%,61%,89%,80%,5%,No data available,100%,91%,23%,63%,2%,33%,1%,25%,100%,No data available,2.42%,00:32,7%,0.03%,96%,106,00:26,98,No data available,No data available,12%,9%,6%,9%,0.00,49,0.25,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0712,WellCare,"Wellcare Of Connecticut, Inc.","WellCare Health Plans, Inc.",50%,51%,Not enough data available,69%,40%,Not enough data available,00:40,60%,95%,0.59%,73%,85%,36%,6%,53,99%,67%,52%,54%,10%,79%,2%,36%,100%,No data available,0.59%,00:40,3%,0.09%,100%,101,01:26,92,61%,47%,7%,11%,11%,22%,0.00,95,5.66,23%,35%,15%,Not Available,19%,100
H0724,Allwell,Buckeye Health Plan Community Solutions,Centene Corporation,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,Not enough data available,00:06,66%,89%,1.57%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,59%,Not enough data available,13%,CMS Found Issues with Plan's Data,75%,CMS Found Issues with Plan's Data,CMS Found Issues with Plan's Data,No data available,No data available,1.57%,00:06,2%,0.00%,100%,99,00:09,94,52%,34%,5%,6%,No data available,No data available,0.00,93,13.22,28%,42%,19%,Not Available,22%,100
H0755,UnitedHealthcare,"Oxford Health Plans (ct), Inc.","UnitedHealth Group, Inc.",41%,57%,90%,78%,41%,91,00:21,72%,95%,3.23%,72%,79%,40%,6%,39,100%,73%,56%,47%,11%,77%,2%,34%,100%,100.00%,3.23%,00:21,2%,0.05%,96%,100,00:26,94,53%,30%,8%,8%,7%,11%,0.42,94,4.87,16%,20%,26%,Not Available,9%,100
H0798,Medica,Medica Community Health Plan,Medica Holding Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0838,Brand New Day,"Universal Care, Inc.","Universal Care, Inc",51%,44%,Not enough data available,62%,18%,Not enough data available,00:28,61%,94%,0.78%,59%,82%,21%,2%,26,96%,67%,40%,64%,CMS Found Issues with Plan's Data,74%,CMS Found Issues with Plan's Data,CMS Found Issues with Plan's Data,100%,No data available,0.78%,00:28,2%,0.13%,100%,101,00:06,93,53%,49%,4%,7%,6%,4%,0.51,98,5.15,34%,51%,10%,Not Available,25%,80
H0908,Allwell,"Buckeye Community Health Plan, Inc.",Centene Corporation,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,00:23,No data available,98%,3.88%,69%,90%,32%,5%,No data available,Not enough data available,78%,51%,8%,CMS Found Issues with Plan's Data,77%,CMS Found Issues with Plan's Data,CMS Found Issues with Plan's Data,100%,No data available,3.88%,00:23,5%,0.00%,100%,100,00:09,92,No data available,No data available,11%,No data available,No data available,No data available,0.00,95,Plan too small to be measured,19%,26%,14%,Not Available,Not Available,100
H0913,WellCare,"Wellcare Health Plans Of New Jersey, Inc.","WellCare Health Plans, Inc.",28%,45%,Not enough data available,65%,Not enough data available,Not enough data available,00:44,53%,93%,0.39%,60%,81%,41%,4%,63,100%,65%,48%,45%,5%,70%,1%,30%,100%,No data available,0.39%,00:44,3%,0.23%,100%,102,01:26,91,61%,62%,9%,4%,4%,No data available,2.09,96,4.97,32%,46%,16%,Not Available,18%,100
H0927,Blue Cross Community MMAI,Health Care Service Corporation,Health Care Service Corporation,44%,53%,87%,60%,28%,92,00:55,55%,95%,1.56%,71%,86%,45%,10%,55,49%,55%,54%,13%,2%,48%,2%,16%,92%,100.00%,1.56%,00:55,3%,0.12%,100%,100,00:07,94,62%,46%,6%,10%,8%,12%,1.00,81,7.17,Not Available,Not Available,Not Available,Not Available,Not Available,80
H0969,Wellcare,Wellcare Health Insurance Company Of New Hampshire,"WellCare Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0982,Solis Health Plans,"Solis Health Plans, Inc.","Athena Healthcare Holdings, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:01,Plan too new to be measured,Plan too new to be measured,0.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0.00%,00:01,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:05,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1016,AvMed Medicare,"Avmed, Inc.","AvMed, Inc.",46%,48%,82%,92%,36%,91,01:19,63%,97%,4.69%,49%,68%,10%,1%,50,98%,72%,67%,49%,4%,84%,2%,35%,93%,100.00%,4.69%,01:19,2%,0.26%,100%,99,00:18,93,56%,33%,11%,9%,8%,No data available,0.00,80,3.74,18%,25%,22%,14%,9%,100
H1019,"CarePlus Health Plans, Inc.","Careplus Health Plans, Inc.",Humana Inc.,35%,62%,89%,80%,33%,92,02:18,56%,97%,0.00%,73%,85%,12%,1%,35,99%,78%,63%,75%,1%,89%,0%,41%,94%,100.00%,0.00%,02:18,2%,0.47%,100%,100,00:08,92,57%,40%,7%,9%,9%,9%,0.32,97,0.39,21%,33%,13%,Not Available,16%,100
H1032,WellCare,"Wellcare Of Florida, Inc.","WellCare Health Plans, Inc.",33%,53%,90%,75%,36%,93,00:46,57%,95%,0.63%,67%,78%,17%,2%,41,97%,75%,56%,68%,8%,80%,1%,39%,94%,No data available,0.63%,00:46,3%,0.11%,100%,101,01:26,90,64%,50%,7%,8%,8%,7%,0.45,96,7.33,23%,35%,25%,Not Available,20%,100
H1035,Florida Blue HMO,"Florida Blue Medicare, Inc.",Guidewell Mutual Holding Corporation,49%,60%,80%,87%,41%,93,00:46,80%,96%,1.39%,66%,72%,17%,2%,38,98%,73%,60%,67%,9%,86%,1%,41%,86%,100.00%,1.39%,00:46,3%,0.99%,100%,106,00:05,39,23%,16%,13%,10%,8%,No data available,0.00,98,1.97,13%,26%,21%,10%,10%,80
H1036,Humana,"Humana Medical Plan, Inc.",Humana Inc.,45%,54%,88%,83%,32%,90,00:19,66%,97%,1.51%,74%,81%,42%,3%,36,95%,81%,62%,70%,0%,90%,0%,40%,100%,100.00%,1.51%,00:19,2%,0.52%,100%,100,00:10,91,63%,38%,8%,9%,9%,12%,0.23,97,1.90,23%,34%,16%,12%,15%,80
H1045,UnitedHealthcare,"Preferred Care Partners, Inc.","UnitedHealth Group, Inc.",37%,59%,83%,83%,37%,91,00:20,64%,97%,2.75%,72%,76%,15%,1%,34,99%,80%,59%,69%,12%,86%,0%,42%,100%,No data available,2.75%,00:20,3%,0.05%,96%,100,00:26,92,54%,29%,11%,9%,9%,10%,0.34,95,5.98,23%,33%,13%,11%,10%,100
H1099,"Health First Health Plans, Inc.",Health First Health Plans,"Health First, Inc.",46%,61%,79%,88%,38%,92,00:17,75%,98%,0.39%,58%,62%,30%,3%,44,100%,87%,61%,78%,58%,92%,18%,62%,80%,100.00%,0.39%,00:17,3%,0.21%,100%,100,00:07,85,45%,25%,7%,8%,7%,No data available,0.41,78,15.87,23%,27%,26%,10%,12%,60
H1100,Innovation Health Medicare,Innovation Health Insurance Company,"Innovation Health Holdings, LLC",Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,00:21,No data available,96%,0.78%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,73%,Not enough data available,47%,6%,81%,2%,34%,No data available,No data available,0.78%,00:21,2%,0.00%,100%,105,00:26,96,No data available,No data available,6%,No data available,No data available,No data available,0.00,98,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
