2021 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC04,Doctors who Communicate Well - DMC05,Call Center – Beneficiary Hold Time - DMC06,Pneumonia Vaccine - DMC07,Access to Primary Care Doctor Visits - DMC08,Call Center - Calls Disconnected When Customer Calls Health Plan - DMC09,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC10,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC11,Initiation of Alcohol or other Drug Treatment - DMC12,Engagement of Alcohol or other Drug Treatment - DMC13,Hospitalization for Potentially Preventable Complications - DMC14,Follow-up after Emergency Department Visit for Patients with Mulitple Chronic Conditions - DMC15,Transitions of Care -  Medication Reconciliation Post-Discharge - DMC16,Transitions of Care - Notification of Inpatient Admission - DMC17,Transitions of Care - Patient Engagement After Inpatient Discharge - DMC18,Transitions of Care - Receipt of Discharge Information - DMC19,Transitions of Care - Average - DMC20,Plan All-Cause Readmissions (18+) - DMC21,Plan All-Cause Readmissions (18-64) - DMC22,Plan All-Cause Readmissions (65+) - DMC23,Physical Functioning Activities of Daily Living - DMC24,Care of Older Adults - Functional Status - DMC25,Kidney Health Evaluation for Patients With Diabetes - DMC26,Improving or Maintaining Physical Health - DMC27,Improving or Maintaining Mental Health - DMC28,Cardiac Rehabiliation - Acheivement - DMC29,Cardiac Rehabiliation - Engagement 1 - DMC30,Cardiac Rehabiliation - Engagement 2 - DMC31,Cardiac Rehabilation - Initiation - DMC32,Call Center - Calls Disconnected When Customer Calls Drug Plan - DMD01,Call Center – Beneficiary Hold Time - DMD02,MPF – Stability - DMD03,Call Center – Pharmacy Hold Time - DMD04,Plan Submitted Higher Prices for Display on MPF - DMD05,Reminders to Fill Prescriptions - DMD06,Reminders to Take Medications - DMD07,Antipsychotic Use in Persons with Dementia - DMD08,Antipsychotic Use in Persons with Dementia - for Long-Term Nursing Home Residents - DMD09,Concurrent Use of Opioids and Benzodiazepines - DMD10,Use of Opioids at High Dosage in Persons Without Cancer - DMD11,Use of Opioids from Multiple Providers in Persons Without Cancer - DMD12,Polypharmacy: Use of Multiple Anticholinergic Medications in Older Adults - DMD13,Polypharmacy: Use of Multiple CNS-Active Medications in Older Adults - DMD14,Initial Opioid Prescribing (IOP-LD) - DMD15,Grievance Rate - DME01,"Disenrollment Reasons - Problems Getting the Plan to Provide and Pay for Needed Care (MA-PD, MA-only) - DME02","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME03","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME04","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME05","Disenrollment Reasons - Problems Getting Information and Help from the Plan (MA-PD, PDP) - DME06",Beneficiary Access and Performance Problems - DME07
H0432,UnitedHealthcare,"UNITEDHEALTHCARE OF THE MIDLANDS, INC.","UnitedHealth Group, Inc.",43%,60%,76%,27%,92,0:31,58%,96%,1.24%,68%,78%,39%,5%,21%,48%,64%,9%,84%,6%,41%,11%,11%,11%,90%,81%,32%,65%,75%,2%,4%,3%,3%,1.24%,0:31,100,0:36,56,61%,41%,8%,14%,14.44%,2.23%,0.75%,13.93%,17.57%,20.89%,8.46,19%,22%,24%,Not Available,14%,100
H0439,Cigna,"CIGNA HEALTHCARE OF GEORGIA, INC.",CIGNA,38%,63%,81%,34%,91,0:19,73%,96%,0.00%,74%,75%,30%,3%,18%,56%,88%,27%,85%,13%,53%,11%,12%,11%,97%,87%,49%,68%,83%,0%,0%,0%,1%,0.00%,0:19,100,0:48,49,58%,38%,11%,20%,17.94%,6.21%,0.19%,7.85%,14.35%,14.60%,13.86,18%,23%,28%,Not Available,16%,60
H0473,Humana,HUMANA INSURANCE COMPANY OF KENTUCKY,Humana Inc.,39%,65%,85%,32%,93,0:19,69%,96%,1.63%,75%,78%,48%,5%,15%,63%,85%,5%,90%,3%,46%,12%,13%,12%,Plan too new to be measured,91%,39%,Plan too new to be measured,Plan too new to be measured,2%,7%,4%,7%,1.63%,0:19,100,0:47,86,63%,30%,4%,5%,10.67%,3.30%,0.22%,8.51%,12.51%,24.48%,2.88,11%,14%,23%,Not Available,12%,100
H0480,MeridianComplete (Medicare-Medicaid Plan),"MERIDIAN HEALTH PLAN OF MICHIGAN, INC.",Centene Corporation,Not enough data available,54%,Not enough data available,22%,No data available,3:29,55%,92%,3.70%,43%,87%,82%,11%,20%,54%,62%,30%,85%,30%,52%,15%,15%,15%,93%,Plan not required to report measure,31%,75%,81%,0%,2%,2%,0%,3.70%,3:29,101,0:30,35,55%,44%,6%,4%,17.99%,7.63%,0.69%,15.67%,19.25%,9.70%,0.02,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0482,Ascension Complete,CENTENE VENTURE COMPANY MICHIGAN,Centene Corporation,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,1:31,Plan too small to be measured,Plan too small to be measured,5.41%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,CMS found issues with plan's data,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,No data available,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,5.41%,1:31,100,0:12,94,Plan too new to be measured,Plan too new to be measured,No data available,No data available,16.02%,0.84%,0.00%,7.86%,10.12%,9.08%,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0504,Blue Shield of California,CALIFORNIA PHYSICIANS' SERVICE,California Physicians' Service,40%,64%,88%,28%,92,0:34,79%,95%,4.30%,61%,80%,43%,4%,Not enough data available,61%,74%,13%,88%,4%,45%,12%,9%,12%,96%,Plan not required to report measure,66%,68%,86%,3%,9%,8%,6%,4.30%,0:34,105,0:39,88,58%,26%,8%,5%,15.49%,4.85%,0.05%,4.98%,9.77%,16.22%,3.69,16%,24%,20%,12%,11%,80
H0523,Aetna Medicare,AETNA HEALTH OF CALIFORNIA INC.,CVS Health Corporation,Not enough data available,60%,Not enough data available,17%,92,0:19,67%,92%,0.00%,Not enough data available,Not enough data available,54%,2%,Not enough data available,49%,68%,1%,79%,0%,37%,Not enough data available,Not enough data available,Not enough data available,95%,Plan not required to report measure,55%,71%,80%,0%,0%,3%,0%,0.00%,0:19,100,0:45,96,58%,27%,7%,No data available,12.40%,5.92%,0.50%,3.93%,7.84%,22.66%,1.82,14%,20%,17%,Not Available,9%,100
H0524,Kaiser Permanente,"KAISER FOUNDATION HP, INC.","Kaiser Foundation Health Plan, Inc.",82%,65%,91%,33%,90,4:18,79%,94%,0.00%,82%,95%,36%,11%,11%,69%,97%,92%,97%,68%,89%,12%,12%,12%,96%,93%,85%,65%,79%,1%,1%,1%,7%,0.00%,4:18,100,0:24,42,39%,25%,7%,9%,6.87%,2.44%,1.02%,4.10%,7.31%,6.40%,7.03,24%,20%,19%,8%,17%,60
H0543,UnitedHealthcare,UHC OF CALIFORNIA,"UnitedHealth Group, Inc.",34%,61%,87%,22%,91,0:35,77%,95%,1.69%,69%,82%,14%,1%,9%,56%,71%,9%,89%,7%,44%,13%,13%,13%,97%,13%,64%,69%,77%,2%,5%,5%,2%,1.69%,0:35,100,0:36,56,61%,28%,9%,8%,13.44%,5.40%,0.16%,6.86%,10.01%,16.26%,7.27,20%,28%,22%,11%,14%,100
H0544,Anthem Blue Cross,BLUE CROSS OF CALIFORNIA,"Elevance Health, Inc.",25%,56%,83%,19%,No data available,0:39,63%,90%,1.96%,57%,80%,20%,2%,10%,49%,74%,0%,77%,0%,38%,13%,14%,12%,96%,75%,61%,63%,82%,1%,2%,2%,1%,2.48%,0:25,100,0:28,91,53%,39%,7%,5%,14.47%,4.11%,0.34%,6.95%,10.12%,18.34%,9.53,27%,26%,23%,16%,21%,100
H0545,Inter Valley Health Plan,"INTER VALLEY HEALTH PLAN, INC.",InterValley Health Plan,Not enough data available,59%,Not enough data available,28%,91,0:17,74%,96%,3.13%,70%,87%,15%,1%,6%,60%,84%,67%,88%,53%,73%,12%,Not enough data available,12%,95%,Plan not required to report measure,58%,66%,82%,4%,5%,7%,5%,0.00%,0:08,100,0:18,51,53%,29%,7%,3%,14.26%,3.62%,0.07%,7.41%,11.09%,12.17%,6.16,8%,14%,16%,7%,8%,80
H0562,Wellcare by Health Net,"HEALTH NET OF CALIFORNIA, INC.",Centene Corporation,46%,57%,85%,23%,No data available,2:39,72%,94%,10.67%,68%,85%,12%,1%,Not enough data available,60%,72%,18%,89%,9%,47%,12%,12%,12%,94%,75%,61%,67%,84%,4%,5%,6%,2%,10.67%,2:39,100,0:12,98,55%,33%,7%,4%,15.13%,4.72%,0.06%,7.29%,10.08%,19.84%,4.2,15%,25%,20%,Not Available,16%,100
H0571,CCHP (Chinese Community Health Plan),CHINESE COMMUNITY HEALTH PLAN,Chinese Hospital Association,Not enough data available,43%,Not enough data available,14%,No data available,0:22,76%,93%,0.00%,Not enough data available,Not enough data available,9%,0%,10%,57%,46%,9%,86%,9%,37%,12%,Not enough data available,12%,86%,67%,82%,66%,78%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,0.00%,0:22,101,0:16,93,51%,63%,4%,No data available,5.26%,0.00%,0.00%,5.81%,3.16%,1.21%,0.83,Not Available,Not Available,Not Available,Not Available,Not Available,80
H0609,UnitedHealthcare,"UnitedHealthcare Benefits of Texas, Inc.","UnitedHealth Group, Inc.",51%,64%,86%,34%,90,0:22,78%,95%,3.32%,72%,82%,20%,2%,11%,59%,73%,10%,93%,13%,47%,14%,14%,14%,95%,88%,61%,69%,86%,5%,10%,9%,7%,3.32%,0:22,100,0:36,56,51%,20%,7%,12%,9.78%,8.44%,0.22%,7.04%,9.33%,12.87%,5.89,26%,22%,16%,8%,13%,100
H0624,UnitedHealthcare,"UnitedHealthcare Benefits of Texas, Inc.","UnitedHealth Group, Inc.",49%,60%,Not enough data available,29%,No data available,0:32,68%,97%,4.96%,69%,85%,33%,5%,14%,57%,59%,16%,82%,12%,42%,10%,9%,10%,92%,76%,32%,65%,81%,1%,5%,2%,7%,4.96%,0:32,100,0:36,57,54%,39%,7%,10%,13.66%,13.07%,1.19%,15.99%,20.48%,16.46%,9.58,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0628,Aetna Medicare,AETNA HEALTH OF OHIO INC.,CVS Health Corporation,47%,64%,89%,30%,93,0:17,66%,96%,2.03%,83%,89%,30%,7%,15%,56%,90%,5%,78%,5%,45%,14%,14%,14%,Plan too new to be measured,88%,38%,Plan too new to be measured,Plan too new to be measured,3%,11%,7%,9%,2.03%,0:17,100,0:45,96,53%,31%,5%,No data available,13.94%,4.57%,0.45%,7.74%,9.74%,17.17%,2.77,20%,23%,26%,Not Available,16%,100
H0630,Kaiser Permanente,KAISER FOUNDATION HP OF CO,"Kaiser Foundation Health Plan, Inc.",76%,69%,90%,31%,93,1:59,85%,94%,1.18%,63%,84%,35%,5%,10%,65%,93%,94%,98%,93%,94%,10%,11%,10%,97%,91%,78%,69%,78%,0%,0%,0%,2%,1.18%,1:59,100,0:22,40,49%,25%,8%,13%,4.27%,2.92%,0.86%,5.05%,7.18%,5.61%,5.36,20%,32%,15%,Not Available,16%,60
H0672,Cigna,"CIGNA HEALTHCARE OF COLORADO, INC.",CIGNA,Not enough data available,75%,Not enough data available,Not enough data available,Plan too new to be measured,0:19,67%,89%,0.00%,Not enough data available,Not enough data available,41%,2%,17%,47%,80%,32%,76%,27%,54%,Not enough data available,Not enough data available,Not enough data available,Plan too new to be measured,No data available,43%,Plan too new to be measured,Plan too new to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,0.00%,0:19,100,0:48,48,44%,29%,2%,No data available,9.83%,5.03%,1.11%,7.56%,8.31%,7.71%,31.94,36%,46%,15%,Not Available,22%,100
H0710,UnitedHealthcare,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","UnitedHealth Group, Inc.",Not enough data available,81%,Not enough data available,5%,No data available,0:27,Plan too small to be measured,99%,2.17%,62%,92%,74%,3%,Not enough data available,62%,74%,1%,78%,1%,39%,8%,9%,8%,No data available,99%,10%,No data available,No data available,0%,0%,0%,0%,2.17%,0:27,100,0:36,60,No data available,No data available,5%,5%,17.68%,4.13%,0.01%,11.25%,27.89%,52.94%,0.38,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0712,Wellcare,"WELLCARE OF CONNECTICUT, INC.",Centene Corporation,39%,65%,Not enough data available,31%,No data available,0:55,63%,95%,0.00%,75%,87%,40%,9%,24%,51%,46%,17%,81%,12%,39%,12%,11%,12%,94%,60%,47%,62%,84%,1%,1%,1%,2%,0.00%,0:55,100,1:06,93,66%,50%,8%,12%,16.67%,9.34%,0.13%,8.91%,12.18%,15.57%,9.75,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0724,Wellcare by Allwell,"BUCKEYE HEALTH PLAN COMMUNITY SOLUTIONS, Inc.",Centene Corporation,38%,52%,Not enough data available,Not enough data available,No data available,1:43,60%,89%,3.85%,73%,77%,38%,4%,21%,48%,46%,0%,74%,0%,30%,14%,Not enough data available,15%,99%,Plan not required to report measure,36%,60%,85%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,3.85%,1:43,100,0:12,97,50%,29%,3%,No data available,12.63%,3.56%,0.00%,9.82%,10.49%,15.93%,11.36,15%,31%,24%,Not Available,16%,100
H0738,AmeriHealth Caritas VIP Care,"AmeriHealth Caritas VIP Next, Inc.","Independence Health Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0755,UnitedHealthcare,"OXFORD HEALTH PLANS (CT), INC.","UnitedHealth Group, Inc.",50%,64%,85%,35%,No data available,0:24,73%,95%,0.44%,72%,85%,33%,5%,14%,59%,64%,13%,92%,12%,45%,11%,12%,11%,96%,Plan not required to report measure,44%,65%,80%,5%,8%,10%,2%,0.44%,0:24,100,0:36,56,57%,23%,7%,6%,18.44%,10.47%,0.09%,5.61%,7.79%,10.72%,4.9,8%,18%,22%,5%,5%,100
H0764,UnitedHealthcare,"UNITEDHEALTHCARE OF NEW ENGLAND, INC.","UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0783,Humana,"HUMANA BENEFIT PLAN OF TEXAS, INC.",Humana Inc.,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,0:19,Plan too small to be measured,Plan too small to be measured,1.63%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,Plan not required to report measure,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,1.63%,0:19,No data available,0:47,84,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No dat,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0798,Medica,MEDICA COMMUNITY HEALTH PLAN,Medica Holding Company,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,0:46,Plan too small to be measured,Plan too small to be measured,0.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,CMS found issues with plan's data,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,Plan not required to report measure,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0.00%,0:46,103,0:48,49,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,11.00%,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0826,Integrated HealthPlan,"INNOVATIVE INTEGRATED HEALTH COMMUNITY PLANS, INC.","Innovative Integrated Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0:25,Plan too new to be measured,Plan too new to be measured,1.08%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,1.16%,0:43,No data available,0:57,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0838,Brand New Day,"UNIVERSAL CARE, INC.","Bright Health Group, Inc.",48%,56%,80%,11%,No data available,4:39,66%,97%,4.30%,70%,87%,16%,1%,Not enough data available,50%,60%,11%,81%,6%,39%,9%,8%,9%,94%,87%,59%,68%,80%,0%,1%,1%,0%,4.30%,4:39,100,0:24,93,57%,40%,7%,4%,14.11%,4.04%,0.13%,7.72%,9.77%,8.70%,3.49,19%,27%,15%,Not Available,14%,100
H0876,CCA Health Rhode Island,"Commonwealth Care Alliance Rhode Island, LLC","Commonwealth Care Alliance, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0:06,Plan too new to be measured,Plan too new to be measured,1.11%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,1.11%,0:06,No data available,2:08,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
