2017 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Appropriate Monitoring of Patients Taking Long-term Medications - DMC04,Osteoporosis Testing - DMC05,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC06,Doctors who Communicate Well - DMC07,Call Center – Beneficiary Hold Time - DMC08,Pneumonia Vaccine - DMC09,Access to Primary Care Doctor Visits - DMC10,Call Center - Calls Disconnected When Customer Calls Health Plan - DMC11,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC12,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC13,Initiation of Alcohol or other Drug Treatment - DMC14,Engagement of Alcohol or other Drug Treatment - DMC15,Hospitalization for Potentially Preventable Complications - DMC16,Statin Therapy for Patients with Cardiovascular Disease - DMC17,Asthma Medication Ratio - DMC18,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Call Center - Calls Disconnected When Customer Calls Drug Plan - DMD03,Call Center – Beneficiary Hold Time - DMD04,Drug-Drug Interactions - DMD05,Diabetes Medication Dosing - DMD06,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD07,MPF – Stability - DMD08,Call Center – Pharmacy Hold Time - DMD09,Plan Submitted Higher Prices for Display on MPF - DMD10,Transition monitoring - failure rate for drugs within classes of clinical concern - DMD11,Transition monitoring - failure rate for all other drugs - DMD12,Reminders to Fill prescriptions - DMD13,Reminders to Take Medications - DMD14,Statin Use in Persons with Diabetes (SUPD) - DMD15,High Risk Medication - DMD16,Formulary Administration Analysis - DMD17,Antipsychotic Use in Persons with Dementia - DMD18,Enrollment Timeliness - DME01,Grievance Rate - DME02,"Disenrollment Reasons - Problems Getting Needed Care, Coverage, and Cost Information (MA-PD, MA-only) - DME03","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME04","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME05","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME06","Disenrollment Reasons - Problems Getting Information about Prescription Drugs (MA-PD, PDP) - DME07"
H0571,Chinese Community Health Plan,Chinese Community Health Plan,Chinese Hospital Association,Not enough data available,52%,Not enough data available,89%,61%,13%,89,0:11,63%,95%,0.00%,79%,92%,10%,3%,40,70%,Not enough data available,100%,No data available,0.00%,0:11,3%,0.36%,100%,100,0:08,99,No data available,0.0%,53%,62%,79%,1%,0.0%,6%,95%,0.51,17%,47%,21%,16%,10%
H0602,Rocky Mountain Health Plans,Rocky Mountain Health Maintenance Organization,"UnitedHealth Group, Inc.",58%,58%,Plan not required to report measure,86%,81%,37%,93,Plan not required to report measure,80%,96%,Plan not required to report measure,78%,79%,35%,3%,Plan not required to report measure,Plan not required to report measure,87%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,7.34,12%,7%,44%,11%,10%
H0609,UnitedHealthcare,"Pacificare Of Colorado, Inc","UnitedHealth Group, Inc.",63%,55%,88%,92%,83%,42%,89,0:25,79%,95%,0.00%,76%,78%,28%,2%,27,76%,83%,89%,100.00%,0.00%,0:25,4%,0.19%,100%,99,0:43,98,0.0%,6.7%,45%,25%,75%,4%,No data available,10%,97%,5.22,19%,22%,15%,6%,15%
H0624,UnitedHealthcare,Unitedhealthcare Insurance Company,"UnitedHealth Group, Inc.",78%,53%,Not enough data available,91%,62%,34%,88,0:13,65%,97%,1.20%,74%,75%,36%,3%,30,86%,53%,100%,No data available,1.20%,0:13,6%,0.24%,100%,101,0:43,98,0.0%,0.0%,50%,38%,75%,9%,No data available,7%,No data available,7.01,17%,26%,14%,6%,14%
H0630,Kaiser Permanente,Kaiser Foundation Hp Of Co,"Kaiser Foundation Health Plan, Inc.",76%,74%,97%,99%,81%,59%,92,0:33,88%,94%,0.00%,75%,92%,28%,10%,12,73%,89%,100%,No data available,0.00%,0:33,2%,0.45%,100%,103,0:13,97,No data available,No data available,31%,20%,83%,4%,0.0%,12%,95%,2.88,23%,30%,15%,5%,14%
H0657,Friday Health Plans of Colorado,Colorado Choice Health Plans,Colorado Choice Health Plans,Not enough data available,Not enough data available,Plan not required to report measure,Not enough data available,62%,24%,92,Plan not required to report measure,64%,88%,Plan not required to report measure,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,0.00,No data available,No data available,No data available,No data available,No data available
H0710,UnitedHealthcare,Unitedhealthcare Insurance Company,"UnitedHealth Group, Inc.",18%,76%,Not enough data available,100%,Not enough data available,10%,No data available,0:18,No data available,100%,0.29%,52%,86%,79%,1%,No data available,70%,Not enough data available,No data available,No data available,0.29%,0:18,7%,0.48%,100%,99,0:43,100,0.0%,0.0%,No data available,No data available,76%,8%,No data available,13%,No data available,0.23,No data available,No data available,No data available,No data available,No data available
H0712,WellCare,"Wellcare Of Connecticut, Inc.","WellCare Health Plans, Inc.",47%,44%,Not enough data available,92%,68%,40%,88,0:31,64%,95%,0.41%,72%,84%,39%,7%,50,80%,74%,100%,100.00%,0.41%,0:31,5%,0.21%,100%,100,0:21,99,0.0%,0.0%,58%,46%,80%,4%,No data available,14%,99%,3.27,31%,36%,23%,21%,23%
H0724,Allwell,Buckeye Health Plan Community Solutions,Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0735,EssentiaCare,Ucare Minnesota,UCare Minnesota,Not enough data available,Not enough data available,Not enough data available,93%,No data available,Not enough data available,No data available,1:02,No data available,95%,0.81%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,Not enough data available,No data available,No data available,0.81%,1:02,2%,0.00%,100%,98,0:43,99,No data available,No data available,No data available,No data available,81%,3%,No data available,No data available,No data available,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available
H0755,UnitedHealthcare,"Oxford Health Plans (ct), Inc.","UnitedHealth Group, Inc.",58%,51%,87%,92%,77%,42%,92,0:19,72%,95%,0.00%,71%,79%,38%,5%,44,78%,82%,100%,100.00%,0.00%,0:19,4%,0.24%,100%,99,0:43,99,0.0%,0.0%,53%,27%,79%,3%,No data available,12%,98%,6.45,25%,47%,20%,16%,16%
H0811,GuildNet Gold Plus FIDA,"Guildnet, Inc.",Jewish Guild for the Blind,Not enough data available,Not enough data available,Not enough data available,89%,64%,Not enough data available,Not enough data available,1:34,71%,94%,0.83%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,Not enough data available,100%,No data available,0.00%,0:18,6%,0.43%,100%,100,0:13,98,No data available,0.0%,63%,50%,73%,5%,0.0%,20%,No data available,0.67,No data available,No data available,No data available,No data available,No data available
H0838,Brand New Day,"Universal Care, Inc.","Universal Care, Inc",54%,38%,Not enough data available,82%,49%,47%,Not enough data available,0:08,47%,93%,2.40%,53%,71%,21%,2%,26,77%,55%,No data available,No data available,2.40%,0:08,5%,0.04%,100%,101,0:04,98,6.7%,0.0%,55%,57%,73%,4%,0.0%,8%,79%,2.90,26%,36%,11%,17%,21%
H0904,CMC Care Advantege,Golden Cross Health Plan Corp.,CMC Care Holding Corp.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0908,Allwell,"Buckeye Community Health Plan, Inc.",Centene Corporation,43%,43%,Not enough data available,89%,Not enough data available,Not enough data available,Not enough data available,0:09,69%,97%,0.83%,79%,79%,29%,2%,No data available,88%,Not enough data available,No data available,No data available,0.83%,0:09,6%,0.00%,100%,97,0:17,97,No data available,0.0%,54%,42%,84%,9%,No data available,No data available,No data available,Plan too small to be measured,21%,23%,17%,13%,20%
H0913,WellCare,"Wellcare Health Plans Of New Jersey, Inc.","WellCare Health Plans, Inc.",Not enough data available,Not enough data available,Not enough data available,93%,62%,Not enough data available,91,0:38,49%,93%,0.41%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,110,88%,Not enough data available,No data available,No data available,0.41%,0:38,3%,0.66%,100%,102,0:21,99,No data available,0.0%,59%,55%,77%,2%,No data available,3%,98%,2.19,25%,38%,29%,20%,21%
H0927,Blue Cross Community MMAI,Health Care Service Corporation,Health Care Service Corporation,33%,43%,89%,93%,49%,Not enough data available,92,0:47,58%,93%,1.63%,70%,83%,44%,7%,59,83%,60%,82%,100.00%,1.63%,0:47,5%,0.39%,100%,96,0:13,99,0.0%,0.0%,58%,43%,80%,5%,No data available,12%,No data available,2.03,No data available,No data available,No data available,No data available,No data available
H1016,AvMed Medicare,"Avmed, Inc.","AvMed, Inc.",61%,49%,88%,95%,89%,42%,92,1:36,63%,97%,2.44%,62%,75%,20%,2%,39,76%,89%,60%,No data available,2.44%,1:36,5%,0.34%,100%,100,0:28,99,0.0%,0.0%,57%,40%,74%,8%,No data available,10%,99%,2.83,20%,27%,31%,19%,10%
H1019,"CarePlus Health Plans, Inc.","Careplus Health Plans, Inc.",Humana Inc.,48%,57%,94%,95%,74%,34%,92,0:20,55%,97%,0.83%,63%,82%,9%,1%,26,76%,64%,96%,100.00%,0.83%,0:20,5%,0.73%,100%,100,0:33,99,6.7%,20.0%,57%,45%,83%,3%,0.0%,9%,97%,17.79,18%,31%,16%,16%,13%
H1026,Florida Blue HMO,"Health Options, Inc.",Guidewell Mutual Holding Corporation,65%,58%,94%,95%,89%,36%,90,0:22,67%,96%,1.30%,67%,68%,25%,1%,44,73%,86%,87%,100.00%,1.30%,0:22,4%,0.28%,100%,100,0:12,98,No data available,No data available,46%,22%,74%,4%,0.0%,8%,95%,3.76,20%,34%,24%,11%,12%
H1032,WellCare,"Wellcare Of Florida, Inc.","WellCare Health Plans, Inc.",41%,51%,89%,96%,73%,40%,90,0:39,57%,95%,0.65%,66%,76%,22%,2%,38,70%,69%,100%,100.00%,0.65%,0:39,6%,0.26%,100%,100,0:21,99,0.0%,0.0%,59%,47%,77%,3%,No data available,8%,97%,4.64,25%,39%,18%,14%,20%
H1035,Florida Health Care Plans,"Florida Health Care Plan, Inc.",Guidewell Mutual Holding Corporation,68%,48%,81%,95%,90%,57%,92,0:17,75%,98%,0.82%,62%,60%,25%,4%,33,72%,56%,100%,100.00%,0.82%,0:17,6%,0.25%,100%,102,0:09,98,No data available,No data available,25%,18%,75%,4%,26.7%,10%,96%,1.85,12%,24%,24%,10%,11%
H1036,"Humana Medical Plan, Inc.","Humana Medical Plan, Inc.",Humana Inc.,47%,52%,91%,97%,79%,33%,91,0:44,59%,97%,0.00%,65%,75%,11%,1%,28,73%,71%,99%,93.75%,0.00%,0:44,5%,0.82%,100%,100,0:32,99,20.0%,0.0%,59%,41%,79%,4%,3.3%,9%,98%,CMS identified issues with this plan's data,18%,33%,15%,9%,11%
H1045,UnitedHealthcare,"Preferred Care Partners, Inc.","UnitedHealth Group, Inc.",48%,53%,89%,95%,84%,36%,92,0:20,64%,97%,0.38%,75%,80%,17%,1%,32,73%,83%,94%,100.00%,0.38%,0:20,5%,0.30%,100%,99,0:43,99,0.0%,6.7%,51%,26%,75%,4%,No data available,10%,98%,5.23,24%,38%,22%,13%,17%
H1099,"Health First Health Plans, Inc.",Health First Health Plans,"Health First, Inc.",80%,58%,93%,95%,87%,35%,91,0:28,71%,98%,0.00%,67%,71%,32%,2%,41,67%,78%,100%,100.00%,0.00%,0:28,5%,0.28%,100%,97,0:20,99,0.0%,0.0%,37%,18%,70%,5%,3.3%,10%,96%,1.83,16%,31%,28%,8%,10%
H1100,Innovation Health,Innovation Health Insurance Company,"Innovation Health Holdings, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H1109,Aetna Medicare,Aetna Health Inc.(ga),Aetna Inc.,Not enough data available,63%,Not enough data available,95%,77%,48%,92,0:20,72%,97%,0.00%,80%,86%,14%,6%,40,76%,Not enough data available,100%,No data available,0.00%,0:20,5%,0.84%,100%,100,0:28,98,No data available,0.0%,55%,37%,75%,5%,0.0%,16%,99%,2.69,11%,10%,23%,12%,10%
H1111,UnitedHealthcare,"Unitedhealthcare Of Georgia, Inc.","UnitedHealth Group, Inc.",58%,51%,Not enough data available,93%,72%,31%,92,0:15,68%,95%,0.00%,72%,80%,36%,0%,50,76%,80%,100%,No data available,0.00%,0:15,4%,0.23%,100%,99,0:43,98,0.0%,0.0%,55%,38%,74%,5%,No data available,14%,98%,9.61,33%,43%,17%,12%,19%
H1112,WellCare,"Wellcare Of Georgia, Inc.","WellCare Health Plans, Inc.",40%,40%,83%,94%,59%,42%,Not enough data available,0:31,50%,94%,0.00%,68%,82%,37%,4%,56,75%,59%,100%,100.00%,0.00%,0:31,6%,0.18%,100%,100,0:21,99,0.0%,0.0%,55%,47%,76%,4%,No data available,11%,97%,3.30,26%,29%,17%,15%,16%
H1170,Kaiser Permanente,"Kaiser Foundation Hp Of Ga, Inc.","Kaiser Foundation Health Plan, Inc.",85%,59%,91%,97%,87%,66%,92,0:18,84%,95%,0.00%,75%,90%,30%,1%,34,81%,80%,No data available,No data available,0.00%,0:18,4%,0.64%,100%,102,0:21,97,No data available,No data available,38%,24%,83%,4%,0.0%,12%,94%,2.05,26%,31%,21%,9%,20%
H1181,Network Health Medicare Advantage Plans,Network Health Insurance Corporation,"Network Health, Inc.",Not enough data available,Benefit not offered by plan,Benefit not offered by plan,Benefit not offered by plan,81%,Not enough data available,91,Plan not required to report measure,67%,89%,Plan not required to report measure,Benefit not offered by plan,Benefit not offered by plan,Not enough data available,Not enough data available,28,Benefit not offered by plan,Benefit not offered by plan,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,0.23,7%,2%,19%,No data available,No data available
