2022 Disenrollment Reasons View: Medicare Report Card Master Table,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,"Problems Getting Needed Care, Coverage, and Cost Information",Problems with Coverage of Doctors and Hospitals,Financial Reasons for Disenrollment,Problems with Prescription Drug Benefits and Coverage,Problems Getting Information and Help from the Plan
H9082 ,"Molina Healthcare of New Mexico, Inc. ","MOLINA HEALTHCARE OF NEW MEXICO, INC. ","Molina Healthcare, Inc., ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9096 ,"Dean Advantage, Prevea360 Medicare Advantage ","DEAN HEALTH PLAN, INC. ",SSM Health Care Corporation ,16%,28%,35%,7%,10%
H9104 ,SCAN Health Plan ,SCAN HEALTH PLAN ,SCAN Group ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9147 ,Blue Cross and Blue Shield of North Carolina ,BLUE CROSS AND BLUE SHIELD OF NC SENIOR HEALTH ,Blue Cross and Blue Shield of North Carolina ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9153 ,West Virginia Senior Advantage ,"WEST VIRGINIA SENIOR ADVANTAGE, INC. ","Stonerise Senior Advantage Holdings, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9191 ,Provider Partners Health Plans ,"PROVIDER PARTNERS HEALTH PLAN OF MISSOURI, INC. ","Rifkin Managed Care Holding, LLC ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9207 ,Health Partners Medicare ,"HEALTH PARTNERS PLANS, INC. ","Health Partners Plans, Inc. ",19%,22%,24%,Not Available ,11%
H9219 ,AMH Health ,"AMH HEALTH PLANS OF MAINE, INC. ",Anthem Inc. ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9258 ,Wellcare ,"WELLCARE HEALTH PLANS OF RHODE ISLAND, INC. ",Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9276 ,Allwell ,"SUNSHINE HEALTH COMMUNITY SOLUTIONS, INC. ",Centene Corporation ,Not Available ,35%,18%,Not Available ,16%
H9295 ,Exemplar Health ,PRESIDENTIAL LIFE INSURANCE COMPANY ,"Exemplar Health Benefits Administrator, LLC ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9302 ,Premera Blue Cross Medicare Advantage ,PREMERA BLUE CROSS ,Premera ,14%,11%,25%,8%,10%
H9306 ,Alterwood Advantage ,"ALTERWOOD ADVANTAGE, INC. ","Alterwood Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9335 ,Wellcare ,"WELLCARE HEALTH PLANS OF MISSOURI, INC. ",Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9357 ,Ascension Complete ,CENTENE VENTURE INSURANCE COMPANY TEXAS ,Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9364 ,Wellcare ,"WELLCARE OF MAINE, INC. ",Centene Corporation ,26%,25%,17%,18%,24%
H9387 ,Wellcare by Allwell ,"SUNFLOWER STATE HEALTH PLAN, INC. ",Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9403 ,Clear Spring Health ,"EON HEALTH, INC. (SC) ",Group 1001 ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9408 ,Vibra Health Plan ,"VIBRA HEALTH PLAN, INC. ",Capital BlueCross ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9412 ,Geisinger Gold ,"GEISINGER QUALITY OPTIONS, INC. ",Geisinger Health ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9414 ,Commonwealth Care Alliance ,"Commonwealth Care Alliance Massachusetts, LLC. ","Commonwealth Care Alliance, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9428 ,Wellcare ,"WELLCARE HEALTH INSURANCE OF TENNESSEE, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9431 ,Aetna Medicare ,FIRST HEALTH LIFE & HEALTH INSURANCE COMPANY ,CVS Health Corporation ,25%,20%,37%,17%,20%
H9455 ,Health Choice Generations Utah ,"HEALTH CHOICE UTAH, INC. ",University of Utah ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9460 ,Cigna ,"CIGNA HEALTHCARE OF ST LOUIS, INC. ",CIGNA ,26%,38%,20%,Not Available ,18%
H9489 ,Vermont Blue Advantage ,"VERMONT BLUE ADVANTAGE, INC. ",Blue Cross Blue Shield of Michigan Mutual Ins. Co. ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9525 ,Anthem Blue Cross and Blue Shield ,COMPCARE HEALTH SERVICES INSURANCE CORPORATION ,Anthem Inc. ,18%,26%,22%,Not Available ,17%
H9572 ,Blue Cross Blue Shield of Michigan ,BCBS OF MICHIGAN MUTUAL INSURANCE COMPANY ,Blue Cross Blue Shield of Michigan Mutual Ins. Co. ,14%,3%,41%,8%,9%
H9585 ,BMC HealthNet Plan Senior Care Options ,"BOSTON MEDICAL CENTER HEALTH PLAN, INC. ","BMC Health System, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9589 ,Clear Spring Health ,"EON HEALTH, INC. (GA) ",Group 1001 ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9590 ,Longevity Health ,"LONGEVITY HEALTH PLAN OF ILLINOIS, INC. ","Longevity Health Founders, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9614 ,Alignment Health Plan ,"ALIGNMENT HEALTH INSURANCE COMPANY OF ARIZONA, INC ","Alignment Healthcare USA, LLC ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9615 ,MVP HEALTH CARE ,"MVP HEALTH PLAN, INC. ","MVP Health Care, Inc. ",15%,21%,25%,9%,8%
H9630 ,Wellcare by Allwell ,"ARKANSAS HEALTH AND WELLNESS HEALTH PLAN, INC ",Centene Corporation ,8%,15%,12%,12%,11%
H9662 ,Cigna ,"CIGNA HEALTHCARE OF CALIFORNIA, INC. ",CIGNA ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9686 ,Alignment Health Plan ,"ALIGNMENT HEALTH PLAN OF NEVADA, INC. ","Alignment Healthcare USA, LLC ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9699 ,Health Advantage ,"HMO PARTNERS, INC. ","HMO Partners, Inc. ",15%,15%,14%,7%,7%
H9706 ,Blue Cross and Blue Shield of Texas ,HCSC INSURANCE SERVICES COMPANY ,Health Care Service Corporation ,36%,43%,16%,Not Available ,25%
H9725 ,Cigna ,"CIGNA HEALTHCARE OF NORTH CAROLINA, INC. ",CIGNA ,25%,33%,18%,Not Available ,18%
H9730 ,Wellcare ,"WELLCARE HEALTH INSURANCE COMPANY OF KENTUCKY, INC ",Centene Corporation ,29%,38%,24%,Not Available ,23%
H9761 ,Wellcare ,"WELLCARE HEALTH PLANS OF MASSACHUSETTS, INC. ",Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9763 ,Ochsner Health Plan ,"OCHSNER HEALTH PLAN, INC. ",Ochsner Clinic Foundation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9808 ,CARE N' CARE INSURANCE COMPANY OF NORTH CAROLINA ,CARE N' CARE INSURANCE COMPANY OF NORTH CAROLINA ,Moses H. Cone Memorial Hospital Corp. ,14%,24%,21%,9%,10%
H9811 ,Wellcare by Allwell ,"MAGNOLIA HEALTH PLAN, INC. ",Centene Corporation ,25%,44%,19%,Not Available ,15%
H9826 ,Community Health Choice ,"COMMUNITY HEALTH CHOICE TEXAS, INC. ",Harris County Hospital District ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9827 ,MediGold ,"MOUNT CARMEL HEALTH PLAN OF NEW YORK, INC. ",Trinity Health Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9828 ,ApexHealth ,"APEX HEALTH, INC. ","J.B. Cotton & Company, LLC ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9834 ,Quartz Medicare Advantage ,QUARTZ HEALTH PLAN MN CORPORATION ,University of Wisconsin Hospitals and Clincs Autho ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9861 ,Reliance Medicare Advantage ,"RELIANCE HMO, INC. ","RELIANCE HMO, INC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9876 ,Commonwealth Care Alliance ,"Commonwealth Care Alliance Rhode Island, LLC ","Commonwealth Care Alliance, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9877 ,Virginia Premier ,"VIRGINIA PREMIER HEALTH PLAN, INC. ",Sentara Health Care (SHC) ,16%,21%,14%,Not Available ,15%
H9884 ,Devoted Health ,DEVOTED HEALTH INSURANCE COMPANY ,"Devoted Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9900 ,Wellcare ,"WELLCARE OF OKLAHOMA, INC. ",Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9904 ,Mass Advantage ,"CENTRAL MASS HEALTH, LLC ",Central Mass Health Holding LLC ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9909 ,American Health Advantage of MS ,"AMERICAN HEALTH PLAN OF MS, INC. ","American Health Companies, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9917 ,Align Senior Care ,"ALIGN SENIOR CARE FLORIDA, INC. ","Innovative Long Term Care Management, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9942 ,Longevity Health Plan ,LONGEVITY HEALTH PLAN OF NEW JERSEY INSURANCE COMP ,"Longevity Health Founders, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9952 ,Medica ,MEDICA HEALTH PLANS ,Medica Holding Company ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9955 ,Molina Healthcare of Ohio ,"MOLINA HEALTHCARE OF OHIO, INC. ","Molina Healthcare, Inc., ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9976 ,Wellcare by Allwell ,"WESTERN SKY COMMUNITY CARE, INC. ",Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9986 ,Florida Complete Care ,"HPMP OF FLORIDA, INC. ","Independent Living Systems, LLC ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
R0110 ,Humana ,HUMANA INSURANCE COMPANY ,Humana Inc. ,10%,17%,32%,7%,6%
R0759 ,UnitedHealthcare ,UNITEDHEALTHCARE INSURANCE COMPANY ,"UnitedHealth Group, Inc. ",11%,14%,22%,Not Available ,11%
R0802 ,Martin's Point Generations Advantage ,"MARTIN'S POINT GENERATIONS ADVANTAGE, INC. ","Martin's Point Health Care, Inc. ",5%,6%,51%,6%,5%
R0865 ,Humana ,HUMANA INSURANCE COMPANY ,Humana Inc. ,9%,7%,29%,6%,6%
R0923 ,Humana ,HUMANA INSURANCE COMPANY ,Humana Inc. ,13%,12%,27%,Not Available ,9%
R1390 ,Humana ,HUMANA INSURANCE COMPANY ,Humana Inc. ,9%,9%,37%,Not Available ,8%
R1532 ,Humana ,HUMANA INSURANCE COMPANY ,Humana Inc. ,20%,22%,23%,Not Available ,14%
R1548 ,UnitedHealthcare ,UNITEDHEALTHCARE INSURANCE CO. OF THE RIVER VALLEY ,"UnitedHealth Group, Inc. ",15%,20%,19%,Not Available ,10%
R2604 ,UnitedHealthcare ,UNITEDHEALTHCARE INSURANCE COMPANY ,"UnitedHealth Group, Inc. ",8%,10%,29%,Not Available ,5%
R3175 ,UnitedHealthcare ,UNITEDHEALTHCARE INSURANCE COMPANY ,"UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
R3332 ,Florida Blue ,"BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC. ",Guidewell Mutual Holding Corporation ,12%,12%,40%,11%,9%
R3392 ,Humana ,HUMANA INSURANCE COMPANY ,Humana Inc. ,9%,13%,37%,7%,7%
R3444 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",14%,17%,35%,Not Available ,9%
R3887 ,Humana ,HUMANA INSURANCE COMPANY ,Humana Inc. ,8%,6%,27%,Not Available ,8%
R4182 ,Humana ,HUMANA INSURANCE COMPANY ,Humana Inc. ,15%,13%,31%,Not Available ,9%
R4487 ,Anthem Blue Cross and Blue Shield ,"ANTHEM INSURANCE COMPANIES, INC. ",Anthem Inc. ,17%,12%,49%,10%,11%
R4845 ,Humana ,HUMANA INSURANCE COMPANY ,Humana Inc. ,22%,20%,24%,Not Available ,16%
R5329 ,UnitedHealthcare ,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC. ","UnitedHealth Group, Inc. ",8%,4%,39%,5%,6%
R5342 ,UnitedHealthcare ,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK ,"UnitedHealth Group, Inc. ",14%,24%,26%,Not Available ,9%
R5361 ,Humana ,HUMANA INSURANCE COMPANY ,Humana Inc. ,14%,18%,25%,Not Available ,12%
R5495 ,Humana ,HUMANA INSURANCE COMPANY ,Humana Inc. ,10%,7%,29%,Not Available ,11%
R5826 ,Humana ,HUMANA INSURANCE COMPANY ,Humana Inc. ,17%,18%,26%,7%,8%
R5941 ,Anthem Blue Cross and Blue Shield ,"ANTHEM INSURANCE COMPANIES, INC. ",Anthem Inc. ,11%,10%,40%,Not Available ,9%
R6694 ,Aetna Medicare ,AETNA LIFE INSURANCE COMPANY ,CVS Health Corporation ,8%,6%,54%,Not Available ,8%
R6801 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY ,"UnitedHealth Group, Inc. ",10%,15%,29%,8%,8%
R7220 ,Humana ,HUMANA INSURANCE COMPANY ,Humana Inc. ,9%,9%,27%,Not Available ,9%
R7315 ,Humana ,HUMANA INSURANCE COMPANY ,Humana Inc. ,9%,11%,32%,Not Available ,6%
R7444 ,UnitedHealthcare ,UNITEDHEALTHCARE INSURANCE COMPANY ,"UnitedHealth Group, Inc. ",11%,12%,31%,8%,9%
S0586 ,MVP Health Care ,"MVP HEALTH PLAN, INC. ","MVP Health Care, Inc. ",Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S0655 ,Tufts Health Plan ,TUFTS INSURANCE COMPANY ,"Point32Health, Inc. ",Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S1030 ,BlueRx (PDP) ,BCBS OF ALABAMA & UTIC INSURANCE COMPANY ,BlueCross BlueShield of Alabama ,Not Applicable ,Not Applicable ,49%,12%,6%
S1140 ,Highmark Blue Cross Blue Shield of Western New Yor ,Highmark Western and Northeastern New York Inc. ,Highmark Health ,Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S1822 ,HealthPartners ,"HEALTHPARTNERS, INC. ","HealthPartners, Inc. ",Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S2465 ,Optima Medicare ,OPTIMA HEALTH PLAN ,Sentara Health Care (SHC) ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
S2468 ,Blue Shield of California ,CALIFORNIA PHYSICIANS' SERVICE ,California Physicians' Service ,Not Applicable ,Not Applicable ,49%,11%,6%
S2668 ,Farm Bureau Health Plans ,MEMBERS HEALTH INSURANCE COMPANY ,Tennessee Rural Health Improvement Association ,Not Applicable ,Not Applicable ,54%,14%,7%
S2874 ,Humana ,"HUMANA INSURANCE OF PUERTO RICO, INC. ",Humana Inc. ,Not Applicable ,Not Applicable ,55%,18%,14%
S2893 ,Blue MedicareRx ,ANTHEM INSURANCE CO. & BCBSMA & BCBSRI & BCBSVT ,Anthem Insurance Co. & BCBSMA & BCBSRI & BCBSVT ,Not Applicable ,Not Applicable ,50%,12%,7%
S3147 ,Banner Medicare Rx ,BANNER HEALTH INSURANCE GROUP ,Banner Health ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
S3285 ,MG Insurance Company ,MG INSURANCE COMPANY ,"MedImpact Holdings, Inc. ",Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S3375 ,"BlueCross BlueShield: Empire, Excellus, WNY & NENY ","EMPIRE HEALTHCHOICE ASSURANCE, INC. ",Anthem Inc. ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
S3389 ,UPMC Health Plan ,"UPMC HEALTH BENEFITS, INC. ",UPMC Health System ,Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S3521 ,"Excellus Health Plan, Inc ","EXCELLUS HEALTH PLAN, INC. ","Lifetime Healthcare, Inc. ",Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S3875 ,Granite Alliance ,GRANITE ALLIANCE INSURANCE COMPANY ,"Magellan Health, Inc. ",Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S3994 ,HMSAs Medicare Rx Plan ,HAWAII MEDICAL SERVICE ASSOCIATION (HMSA) ,Hawaii Medical Service Association ,Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S4219 ,Health Alliance Medicare Prescription Plan ,HEALTH ALLIANCE MEDICAL PLANS ,The Carle Foundation ,Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S4501 ,Pharmacy Benefit Dimensions PDP ,INDEPENDENT HEALTH BENEFITS CORPORATION ,"Independent Health Association, Inc. ",Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S4802 ,Wellcare ,"WELLCARE PRESCRIPTION INSURANCE, INC. ",Centene Corporation ,Not Applicable ,Not Applicable ,32%,9%,9%
S5450 ,BlueScripts ,"SECURITYCARE OF TENNESSEE, INC. ",BlueCross BlueShield of Tennessee ,Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S5540 ,Blue Cross and Blue Shield of North Carolina ,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA ,Blue Cross and Blue Shield of North Carolina ,Not Applicable ,Not Applicable ,47%,10%,5%
S5552 ,Humana ,HUMANA INSURANCE COMPANY OF NEW YORK ,Humana Inc. ,Not Applicable ,Not Applicable ,38%,8%,6%
S5584 ,Blue Cross Blue Shield of Michigan ,BCBS OF MICHIGAN MUTUAL INSURANCE COMPANY ,Blue Cross Blue Shield of Michigan Mutual Ins. Co. ,Not Applicable ,Not Applicable ,58%,10%,6%
S5588 ,Paramount Prescription Drug Plan ,PARAMOUNT INSURANCE COMPANY ,"Promedica Health System, Inc. ",Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S5593 ,Highmark Inc. ,HM HEALTH INSURANCE COMPANY ,Highmark Health ,Not Applicable ,Not Applicable ,54%,11%,6%
S5596 ,Anthem / Anthem or Blue KC in Missouri ,"ANTHEM INSURANCE COMPANIES, INC. ",Anthem Inc. ,Not Applicable ,Not Applicable ,44%,14%,10%
S5601 ,Aetna Medicare ,SILVERSCRIPT INSURANCE COMPANY ,CVS Health Corporation ,Not Applicable ,Not Applicable ,36%,12%,8%
S5609 ,Asuris Northwest Health ,ASURIS NORTHWEST HEALTH ,"Cambia Health Solutions, Inc. ",Not Applicable ,Not Applicable ,42%,16%,Not Available
S5617 ,Cigna ,CIGNA HEALTH AND LIFE INSURANCE COMPANY ,CIGNA ,Not Applicable ,Not Applicable ,32%,10%,6%
S5660 ,Express Scripts Medicare ,MEDCO CONTAINMENT LIFE AND MEDCO CONTAINMENT NY ,CIGNA ,Not Applicable ,Not Applicable ,39%,17%,9%
S5715 ,"Blue Cross and Blue Shield of IL, NM, OK, TX ",HCSC INSURANCE SERVICES COMPANY ,Health Care Service Corporation ,Not Applicable ,Not Applicable ,57%,11%,7%
S5726 ,Blue Cross and Blue Shield of Kansas or Blue KC ,BLUE CROSS AND BLUE SHIELD OF KANSAS ,Blue Cross Blue Shield of Kansas ,Not Applicable ,Not Applicable ,46%,12%,6%
S5743 ,MedicareBlue Rx ,"WELLMARK  IA & SD, & BCBS MN, MT, NE, ND,& WY ","BCBS MN, MT, NE, ND, WY, Wellmark IA and SD ",Not Applicable ,Not Applicable ,60%,5%,3%
S5753 ,WPS Health Insurance ,WISCONSIN PHYSICIANS SERVICE INSURANCE CORPORATION ,Wisconsin Physicians Service Ins Corporation. ,Not Applicable ,Not Applicable ,49%,10%,4%
S5795 ,Arkansas Blue Medicare ,USABLE MUTUAL INSURANCE COMPANY ,USAble Mutual Insurance Company ,Not Applicable ,Not Applicable ,53%,10%,4%
S5805 ,UnitedHealthcare ,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK ,"UnitedHealth Group, Inc. ",Not Applicable ,Not Applicable ,53%,9%,6%
S5820 ,UnitedHealthcare ,UNITEDHEALTHCARE INSURANCE COMPANY ,"UnitedHealth Group, Inc. ",Not Applicable ,Not Applicable ,49%,8%,7%
S5857 ,Priority Health Medicare ,PRIORITY HEALTH INSURANCE COMPANY ,Spectrum Health System ,Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S5877 ,EMI Health ,EDUCATORS MUTUAL INSURANCE ASSOCIATION ,Educators Mutual Insurance Association ,Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S5884 ,Humana ,HUMANA INSURANCE COMPANY ,Humana Inc. ,Not Applicable ,Not Applicable ,41%,11%,7%
S5904 ,Florida Blue ,"BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC. ",Guidewell Mutual Holding Corporation ,Not Applicable ,Not Applicable ,54%,22%,10%
S5916 ,Regence BlueShield of Idaho and Regence BC BS Utah ,REGENCE BLUESHIELD OF IDAHO AND REGENCE BC BS UTAH ,"Cambia Health Solutions, Inc. ",Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S5921 ,UnitedHealthcare ,UNITEDHEALTHCARE INS. CO. & UHC INS. CO. OF NY ,"UnitedHealth Group, Inc. ",Not Applicable ,Not Applicable ,45%,10%,6%
S5953 ,Blue Cross Blue Shield of South Carolina ,BLUECROSS AND BLUESHIELD OF SOUTH CAROLINA ,BlueCross BlueShield of South Carolina (BCBSSC) ,Not Applicable ,Not Applicable ,62%,13%,5%
S5960 ,UniCare ,UNICARE LIFE & HEALTH INSURANCE COMPANY ,Anthem Inc. ,Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S5966 ,EmblemHealth Medicare PDP ,"EmblemHealth, Inc ","EmblemHealth, Inc. ",Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S5975 ,"Moda Health Plan, Inc. ","MODA HEALTH PLAN, INC. ","Moda Partners, Inc. ",Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S5993 ,Horizon Blue Cross Blue Shield of New Jersey ,HORIZON INSURANCE COMPANY ,"Horizon Healthcare Services, Inc. ",Not Applicable ,Not Applicable ,58%,15%,9%
S6506 ,Blue Cross Blue Shield of Arizona ,"BLUE CROSS AND BLUE SHIELD ARIZONA, INC. ",Blue Cross Blue Shield of Arizona ,Not Applicable ,Not Applicable ,43%,12%,7%
S6875 ,Independence Blue Cross ,QCC INSURANCE COMPANY ,"Independence Health Group, Inc. ",Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S6946 ,Clear Spring Health ,CLEAR SPRING HEALTH INSURANCE COMPANY ,Group 1001 ,Not Applicable ,Not Applicable ,31%,Not Available ,14%
S7126 ,Mutual of Omaha Rx ,OMAHA HEALTH INSURANCE COMPANY ,Mutual of Omaha Insurance Company ,Not Applicable ,Not Applicable ,51%,18%,8%
S7694 ,Elixir Insurance ,ELIXIR INSURANCE COMPANY ,Rite Aid Corporation ,Not Applicable ,Not Applicable ,41%,9%,6%
S8067 ,Avalon Insurance Company ,AVALON INSURANCE COMPANY ,Capital BlueCross ,Not Applicable ,Not Applicable ,48%,18%,6%
S8182 ,Amerigroup ,AMERIGROUP INSURANCE COMPANY ,Anthem Inc. ,Not Applicable ,Not Applicable ,42%,16%,Not Available
S8677 ,Providence Health Assurance ,PROVIDENCE HEALTH ASSURANCE ,Providence Health & Services ,Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S8841 ,"Optum Insurance of Ohio, Inc. ","OPTUM INSURANCE OF OHIO, INC. ","UnitedHealth Group, Inc. ",Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S9325 ,Exemplar Health ,PRESIDENTIAL LIFE INSURANCE COMPANY ,"Exemplar Health Benefits Administrator, LLC ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
S9701 ,Navitus MedicareRx ,"DEAN HEALTH INSURANCE, INC. ",SSM Health Care Corporation ,Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
