2021 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Osteoporosis Testing - DMC04,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC05,Doctors who Communicate Well - DMC06,Call Center – Beneficiary Hold Time - DMC07,Pneumonia Vaccine - DMC08,Access to Primary Care Doctor Visits - DMC09,Call Center - Calls Disconnected When Customer Calls Health Plan - DMC10,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC11,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC12,Initiation of Alcohol or other Drug Treatment - DMC13,Engagement of Alcohol or other Drug Treatment - DMC14,Hospitalization for Potentially Preventable Complications - DMC15,Controlling High Blood Pressure - DMC16,Follow-up after Emergency Department Visit for Patients with Mulitple Chronic Conditions - DMC17,Transitions of Care -  Medication Reconciliation Post-Discharge - DMC18,Transitions of Care - Notification of Inpatient Admission - DMC19,Transitions of Care - Patient Engagement After Inpatient Discharge - DMC20,Transitions of Care - Receipt of Discharge Information - DMC21,Transitions of Care - Average - DMC22,Plan All-Cause Readmissions - DMC23,Physical Functioning Activities of Daily Living - DMC24,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Call Center - Calls Disconnected When Customer Calls Drug Plan - DMD03,Call Center – Beneficiary Hold Time - DMD04,Drug-Drug Interactions - DMD05,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD06,MPF – Stability - DMD07,Call Center – Pharmacy Hold Time - DMD08,Plan Submitted Higher Prices for Display on MPF - DMD09,Reminders to Fill Prescriptions - DMD10,Reminders to Take Medications - DMD11,Antipsychotic Use in Persons with Dementia - DMD12,Antipsychotic Use in Persons with Dementia - for Community-Only Residents - DMD13,Antipsychotic Use in Persons with Dementia - for Long-Term Nursing Home Residents - DMD14,Use of Opioids at High Dosage and from Multiple Providers - DMD15,MPF Price Accuracy - DMD16,Concurrent Use of Opioids and Benzodiazepines - DMD17,Use of Opioids at High Dosage in Persons Without Cancer - DMD18,Use of Opioids from Multiple Providers in Persons Without Cancer - DMD19,Polypharmacy: Use of Multiple Anticholinergic Medications in Older Adults - DMD20,Polypharmacy: Use of Multiple CNS-Active Medications in Older Adults - DMD21,Grievance Rate - DME01,"Disenrollment Reasons - Problems Getting the Plan to Provide and Pay for Needed Care (MA-PD, MA-only) - DME02","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME03","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME04","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME05","Disenrollment Reasons - Problems Getting Information and Help from the Plan (MA-PD, PDP) - DME06",Beneficiary Access and Performance Problems - DME07
H0422,UCare,"UCARE HEALTH, INC.",UCare Minnesota,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:09,Plan too new to be measured,Plan too new to be measured,1.56%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,1.56%,00:09,3%,100%,101,00:10,79,No data available,No data available,No data available,No data available,No data available,0.00%,84,5.93%,0.00%,0.00%,0.00%,4.15%,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0423,MetroPlus Health Plan,"METROPLUS HEALTH PLAN, INC.",New York City Health and Hospitals Corporation,60%,50%,Not enough data available,65%,42%,91,00:29,64%,95%,0.00%,66%,94%,41%,7%,88,81%,47%,71%,16%,79%,11%,44%,9%,96,No data available,No data available,0.00%,00:08,2%,100%,99,00:20,95,63%,57%,11%,11%,No data available,0.00%,90,12.70%,16.32%,0.00%,7.77%,8.23%,0.41,18%,25%,18%,10%,12%,100
H0432,UnitedHealthcare,"UNITEDHEALTHCARE OF ALABAMA, INC.","UnitedHealth Group, Inc.",46%,67%,Not enough data available,56%,Not enough data available,90,00:50,51%,96%,1.20%,65%,64%,47%,2%,No data available,63%,34%,54%,9%,82%,0%,36%,7%,No data available,100%,No data available,1.20%,00:50,5%,100%,100,00:35,88,57%,49%,12%,9%,No data available,0.00%,91,18.09%,2.41%,0.87%,14.02%,8.00%,4.00,21%,46%,13%,Not Available,15%,100
H0439,Cigna,"CIGNA HEALTHCARE OF GEORGIA, INC.",CIGNA,42%,52%,84%,72%,43%,91,00:20,74%,97%,0.00%,68%,76%,38%,2%,38,70%,50%,57%,10%,85%,6%,39%,8%,93,100%,100.00%,0.00%,00:20,3%,100%,100,00:10,86,51%,39%,13%,12%,16%,0.03%,76,19.03%,6.78%,0.91%,7.16%,7.85%,6.86,21%,37%,23%,14%,11%,100
H0473,Humana,HUMANA INSURANCE COMPANY OF KENTUCKY,Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:19,Plan too new to be measured,Plan too new to be measured,1.55%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,100%,100.00%,1.55%,00:19,2%,100%,100,00:12,87,No data available,No data available,6%,6%,No data available,0.00%,91,13.13%,3.72%,0.58%,7.35%,4.37%,1.95,22%,26%,16%,Not Available,14%,100
H0480,MeridianComplete,"MERIDIAN HEALTH PLAN OF MICHIGAN, INC.",Centene Corporation,Not enough data available,48%,Not enough data available,66%,18%,Not enough data available,00:28,55%,94%,0.78%,76%,90%,34%,4%,41,68%,53%,32%,1%,75%,16%,31%,5%,95,100%,100.00%,0.78%,00:28,Plan not required to report measure,100%,Plan not required to report measure,00:05,Plan not required to report measure,59%,53%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0.13,Not Available,Not Available,Not Available,Not Available,Not Available,100
H0482,Ascension Complete,CENTENE VENTURE COMPANY MICHIGAN,Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0504,Blue Shield of California,CALIFORNIA PHYSICIANS' SERVICE,California Physicians' Service,37%,55%,89%,78%,30%,89,00:24,76%,95%,2.36%,56%,72%,17%,1%,36,69%,57%,60%,25%,83%,13%,45%,8%,95,96%,100.00%,2.36%,00:24,2%,100%,99,00:06,91,57%,26%,10%,10%,10%,0.00%,74,16.69%,5.67%,0.21%,6.43%,5.36%,3.41,16%,25%,24%,10%,10%,100
H0523,Aetna Medicare,AETNA HEALTH OF CALIFORNIA INC.,CVS Health Corporation,37%,56%,Not enough data available,76%,25%,Not enough data available,01:54,72%,95%,1.27%,61%,74%,77%,5%,23,69%,49%,61%,7%,77%,1%,36%,8%,94,100%,No data available,1.27%,01:54,2%,100%,101,00:38,95,63%,29%,9%,10%,7%,0.08%,98,15.03%,4.35%,0.40%,5.65%,5.47%,3.88,10%,16%,13%,9%,10%,100
H0524,Kaiser Permanente,"KAISER FOUNDATION HP, INC.","Kaiser Foundation Health Plan, Inc.",78%,62%,96%,82%,62%,91,00:15,83%,96%,0.78%,87%,95%,32%,9%,34,86%,52%,96%,85%,97%,83%,90%,8%,97,92%,No data available,0.78%,00:15,2%,100%,100,00:23,46,37%,24%,14%,14%,15%,0.06%,100,9.22%,3.09%,1.35%,4.77%,3.20%,5.03,20%,17%,32%,8%,17%,80
H0543,UnitedHealthcare,UHC OF CALIFORNIA,"UnitedHealth Group, Inc.",35%,54%,86%,78%,29%,90,00:39,77%,95%,0.39%,68%,79%,12%,1%,30,73%,55%,60%,12%,89%,2%,41%,7%,94,100%,100.00%,0.39%,00:39,2%,100%,100,00:35,87,50%,26%,11%,11%,10%,0.04%,88,15.41%,5.90%,0.29%,6.39%,5.20%,3.43,17%,23%,34%,Not Available,16%,80
H0544,Anthem Blue Cross,BLUE CROSS OF CALIFORNIA,Anthem Inc.,34%,49%,81%,68%,29%,90,00:47,67%,94%,4.69%,65%,78%,12%,1%,29,65%,51%,58%,4%,82%,1%,37%,7%,95,90%,100.00%,1.69%,00:11,2%,100%,101,00:17,88,56%,35%,11%,10%,11%,0.00%,95,17.17%,4.45%,0.38%,6.15%,5.60%,9.30,22%,44%,16%,11%,17%,80
H0545,Inter Valley Health Plan,"INTER VALLEY HEALTH PLAN, INC.",InterValley Health Plan,57%,45%,77%,81%,44%,Not enough data available,00:11,72%,97%,2.40%,70%,82%,8%,0%,21,87%,60%,90%,50%,89%,45%,68%,8%,94,100%,No data available,1.56%,00:18,3%,100%,100,00:16,35,50%,26%,7%,7%,2%,0.00%,99,15.14%,3.89%,0.05%,6.74%,5.07%,2.55,19%,16%,15%,11%,9%,80
H0562,Health Net of California,"HEALTH NET OF CALIFORNIA,INC.",Centene Corporation,49%,55%,85%,78%,28%,89,00:28,73%,95%,5.08%,69%,82%,16%,1%,28,69%,55%,50%,5%,84%,0%,35%,8%,96,89%,100.00%,5.08%,00:28,2%,100%,102,00:47,91,58%,37%,11%,11%,7%,0.03%,92,18.10%,5.41%,0.20%,6.59%,5.55%,5.72,16%,20%,23%,15%,14%,100
H0571,Chinese Community Health Plan,CHINESE COMMUNITY HEALTH PLAN,Chinese Hospital Association,Not enough data available,59%,Not enough data available,61%,13%,Not enough data available,00:25,60%,95%,0.00%,80%,90%,Not enough data available,Not enough data available,28,79%,62%,74%,37%,91%,21%,56%,8%,90,No data available,No data available,0.00%,00:25,1%,100%,101,00:03,92,48%,66%,5%,5%,No data available,0.00%,99,10.16%,1.78%,0.00%,2.81%,1.34%,0.96,Not Available,Not Available,Not Available,Not Available,Not Available,80
H0602,Rocky Mountain Health Plans,ROCKY MOUNTAIN HEALTH MAINTENANCE ORGANIZATION,"UnitedHealth Group, Inc.",Not enough data available,Benefit not offered by plan ,Plan not required to report measure,81%,36%,90,Plan not required to report measure,81%,96%,Plan not required to report measure,Benefit not offered by plan ,Benefit not offered by plan ,Benefit not offered by plan ,Benefit not offered by plan ,Plan not required to report measure,69%,59%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,95,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,5.61,18%,12%,29%,Not Applicable,Not Applicable,100
H0609,UnitedHealthcare,"PACIFICARE OF COLORADO, INC.","UnitedHealth Group, Inc.",45%,58%,82%,86%,48%,90,00:46,81%,96%,1.90%,73%,77%,23%,2%,35,72%,58%,57%,19%,83%,3%,41%,7%,96,100%,100.00%,1.90%,00:46,2%,100%,100,00:35,87,51%,20%,10%,9%,15%,0.05%,90,12.12%,9.55%,0.38%,6.85%,4.28%,4.66,18%,32%,19%,7%,13%,100
H0624,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",53%,52%,Not enough data available,68%,28%,90,01:02,67%,97%,0.66%,68%,79%,33%,4%,30,76%,55%,54%,5%,79%,0%,34%,6%,94,100%,No data available,0.66%,01:02,3%,100%,100,00:35,89,54%,40%,9%,8%,No data available,0.17%,91,16.48%,13.43%,1.32%,15.05%,10.47%,5.18,13%,25%,12%,7%,13%,100
H0628,Aetna Medicare,AETNA HEALTH OF OHIO INC.,CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:57,Plan too new to be measured,Plan too new to be measured,0.51%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,0.51%,00:57,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:38,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0630,Kaiser Permanente,KAISER FOUNDATION HP OF CO,"Kaiser Foundation Health Plan, Inc.",71%,79%,95%,82%,53%,92,00:26,86%,95%,0.78%,81%,95%,41%,9%,37,83%,62%,92%,93%,97%,93%,94%,6%,98,67%,No data available,0.78%,00:26,1%,100%,101,00:10,48,38%,21%,11%,11%,15%,0.07%,98,5.85%,3.70%,1.12%,4.31%,2.38%,3.53,22%,33%,23%,7%,15%,100
H0657,Friday Health Plans,"FRIDAY HEALTH PLANS OF COLORADO, INC.","Friday Health Plans, Inc.",Not enough data available,Benefit not offered by plan ,Plan not required to report measure,60%,Not enough data available,No data available,Plan not required to report measure,No data available,89%,Plan not required to report measure,Benefit not offered by plan ,Benefit not offered by plan ,Benefit not offered by plan ,Benefit not offered by plan ,Plan not required to report measure,55%,48%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,95,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too small to be measured,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,100
H0672,Cigna,"CIGNA HEALTHCARE OF COLORADO, INC.",CIGNA,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:22,Plan too new to be measured,Plan too new to be measured,0.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,0.00%,00:22,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:10,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0710,UnitedHealthcare,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","UnitedHealth Group, Inc.",7%,77%,Not enough data available,Not enough data available,6%,No data available,00:52,No data available,99%,1.52%,61%,89%,80%,5%,No data available,91%,23%,63%,2%,33%,1%,25%,4%,73,No data available,No data available,1.52%,00:52,6%,100%,100,00:35,90,No data available,No data available,10%,7%,10%,0.01%,82,19.60%,5.27%,0.03%,11.08%,12.17%,0.49,Not Available,Not Available,Not Available,Not Available,Not Available,80
H0712,WellCare,"WELLCARE OF CONNECTICUT, INC.",Centene Corporation,50%,51%,Not enough data available,71%,40%,Not enough data available,00:15,60%,95%,2.48%,73%,85%,36%,6%,53,67%,52%,54%,10%,79%,2%,36%,9%,96,100%,No data available,2.48%,00:15,3%,100%,100,00:30,97,61%,47%,14%,11%,32%,0.00%,94,15.05%,9.50%,0.54%,9.68%,6.58%,6.98,27%,39%,11%,Not Available,20%,100
H0724,Allwell,BUCKEYE HEALTH PLAN COMMUNITY SOLUTIONS,Centene Corporation,Not enough data available,Not enough data available,Not enough data available,61%,Not enough data available,Not enough data available,00:04,66%,89%,1.56%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,59%,Not enough data available,13%,CMS Found Issues with Plan's Data,75%,CMS Found Issues with Plan's Data,CMS Found Issues with Plan's Data,No data available,No data available,0%,No data available,1.56%,00:04,2%,100%,102,00:47,89,52%,34%,8%,8%,No data available,0.00%,94,15.01%,1.29%,0.67%,9.99%,4.52%,17.05,23%,33%,21%,Not Available,20%,100
H0755,UnitedHealthcare,"OXFORD HEALTH PLANS (CT), INC.","UnitedHealth Group, Inc.",41%,57%,90%,78%,41%,91,00:40,72%,95%,1.54%,72%,79%,40%,6%,39,73%,56%,47%,11%,77%,2%,34%,7%,94,100%,No data available,1.54%,00:40,2%,100%,100,00:35,88,53%,30%,9%,8%,14%,0.04%,89,19.64%,10.30%,0.24%,5.79%,4.72%,4.76,16%,25%,27%,11%,8%,100
