2021 Disenrollment Reasons View: Medicare Report Card Master Table,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Problems Getting the Plan to Provide and Pay for Needed Care,Problems with Coverage of Doctors and Hospitals,Financial Reasons for Disenrollment,Problems with Prescription Drug Benefits and Coverage,Problems Getting Information and Help from the Plan
H9712,HAP Empowered MI Health Link,"HAP EMPOWERED HEALTH PLAN, INC.",Henry Ford Health System,Not Available,Not Available,Not Available,Not Available,Not Available
H9725,Cigna,"CIGNA HEALTHCARE OF NORTH CAROLINA, INC.",CIGNA,22%,33%,17%,Not Available,14%
H9730,WellCare,"WELLCARE HEALTH INSURANCE COMPANY OF KENTUCKY, INC",Centene Corporation,23%,22%,12%,10%,14%
H9808,CARE N' CARE INSURANCE COMPANY OF NORTH CAROLINA,CARE N' CARE INSURANCE COMPANY OF NORTH CAROLINA,Moses H. Cone Memorial Hospital Corp.,15%,22%,18%,13%,11%
H9811,Allwell,"MAGNOLIA HEALTH PLAN, INC.",Centene Corporation,30%,39%,15%,Not Available,16%
H9826,Community Health Choice,"COMMUNITY HEALTH CHOICE TEXAS, INC.",Harris County Hospital District,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9834,Quartz Medicare Advantage,QUARTZ HEALTH PLAN MN CORPORATION,University of Wisconsin Hospitals and Clincs Autho,Not Available,Not Available,Not Available,Not Available,Not Available
H9861,Reliance Medicare Advantage,"RELIANCE HMO, INC.","RELIANCE HMO, INC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9869,Partners Health Plan,"PARTNERS HEALTH PLAN, INC.","PHSI, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H9870,Passport Advantage,"UNIVERSITY HEALTH CARE, INC.","University Health Care, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H9877,Virginia Premier,"VIRGINIA PREMIER HEALTH PLAN, INC.",Virginia Cwlth University Hlth System Authority,28%,35%,16%,17%,24%
H9878,Bright Health,"BRIGHT HEALTH INSURANCE COMPANY OF OHIO, INC.","Bright Health, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H9909,American Health Advantage of MS,"AMERICAN HEALTH PLAN OF MS, INC.","American Health Companies, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9917,Align Senior Care,"ALIGN SENIOR CARE FLORIDA, INC.","Innovative Long Term Care Management, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9942,Longevity Health Plan,LONGEVITY HEALTH PLAN OF NEW JERSEY INSURANCE COMP,"Longevity Health Founders, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9952,Medica,MEDICA HEALTH PLANS,Medica Holding Company,Not Available,Not Available,Not Available,Not Available,Not Available
H9955,Molina Healthcare of Ohio,"MOLINA HEALTHCARE OF OHIO, INC.","Molina Healthcare, Inc.,",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
R0110,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,14%,22%,34%,4%,7%
R0759,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
R0802,Martin's Point Generations Advantage,"MARTIN'S POINT GENERATIONS ADVANTAGE, INC.","Martin's Point Health Care, Inc.",12%,17%,24%,6%,7%
R0865,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,8%,6%,34%,8%,7%
R0923,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,17%,22%,26%,7%,10%
R1390,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,9%,14%,33%,Not Available,11%
R1532,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,18%,19%,26%,Not Available,14%
R1548,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE CO OF THE RIVER VALLEY,"UnitedHealth Group, Inc.",9%,20%,8%,Not Available,11%
R2604,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
R3175,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
R3332,Florida Blue,"BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC.",Guidewell Mutual Holding Corporation,15%,11%,45%,11%,9%
R3392,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,10%,16%,38%,Not Available,9%
R3444,UnitedHealthcare,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,"UnitedHealth Group, Inc.",12%,10%,25%,9%,11%
R3887,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,12%,13%,39%,Not Available,13%
R4182,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,13%,10%,37%,Not Available,11%
R4487,Anthem Blue Cross and Blue Shield,"ANTHEM INSURANCE COMPANIES, INC.",Anthem Inc.,11%,9%,46%,Not Available,9%
R4845,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,14%,21%,31%,Not Available,15%
R5329,UnitedHealthcare,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","UnitedHealth Group, Inc.",7%,10%,42%,5%,6%
R5342,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,"UnitedHealth Group, Inc.",18%,36%,29%,12%,10%
R5361,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,14%,7%,27%,Not Available,12%
R5495,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,12%,12%,28%,Not Available,10%
R5826,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,9%,16%,21%,7%,6%
R5941,Anthem Blue Cross and Blue Shield,"ANTHEM INSURANCE COMPANIES, INC.",Anthem Inc.,14%,15%,44%,7%,9%
R6694,Aetna Medicare,AETNA LIFE INSURANCE COMPANY,CVS Health Corporation,10%,6%,46%,Not Available,8%
R6801,UnitedHealthcare,CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY,"UnitedHealth Group, Inc.",12%,12%,34%,7%,10%
R7220,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,9%,7%,32%,Not Available,11%
R7315,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,15%,20%,34%,7%,8%
R7444,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",11%,21%,28%,8%,7%
S0586,MVP Health Care,"MVP HEALTH PLAN, INC.","MVP Health Care, Inc.",Not Applicable,Not Applicable,Not Available,Not Available,Not Available
S0655,Tufts Health Plan,TUFTS INSURANCE COMPANY,"Tufts Health Plan, Inc",Not Applicable,Not Applicable,Not Available,Not Available,Not Available
S1030,BlueRx (PDP),BCBS OF ALABAMA & UTIC INSURANCE COMPANY,BlueCross BlueShield of Alabama,Not Applicable,Not Applicable,49%,15%,5%
S1140,BlueCross BlueShield of WNY and BlueShield of NENY,HEALTHNOW NEW YORK INC.,HealthNow New York Inc.,Not Applicable,Not Applicable,Not Available,Not Available,Not Available
S1822,HealthPartners,"HEALTHPARTNERS, INC.","HealthPartners, Inc.",Not Applicable,Not Applicable,Not Available,Not Available,Not Available
S1894,CommunityCare Prescription Drug Plan (PDP),"COMMUNITYCARE GOVERNMENT PROGRAMS, INC.",St Francis Health System & St John Health System,Not Applicable,Not Applicable,26%,5%,Not Available
S2465,Optima Medicare,OPTIMA HEALTH PLAN,Sentara Health Care (SHC),Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
S2468,Blue Shield of California,CALIFORNIA PHYSICIANS' SERVICE,California Physicians' Service,Not Applicable,Not Applicable,45%,13%,6%
S2668,Farm Bureau Health Plans,MEMBERS HEALTH INSURANCE COMPANY,Tennessee Rural Health Improvement Association,Not Applicable,Not Applicable,53%,12%,7%
S2874,Humana,"HUMANA INSURANCE OF PUERTO RICO, INC.",Humana Inc.,Not Applicable,Not Applicable,53%,15%,10%
S2893,Blue MedicareRx,ANTHEM INSURANCE CO. & BCBSMA & BCBSRI & BCBSVT,Anthem Insurance Co. & BCBSMA & BCBSRI & BCBSVT,Not Applicable,Not Applicable,48%,12%,6%
S3285,MG Insurance Company,MG INSURANCE COMPANY,"MedImpact Holdings, Inc.",Not Applicable,Not Applicable,Not Available,Not Available,Not Available
S3375,"BlueCross BlueShield: Empire, Excellus, WNY & NENY","EMPIRE HEALTHCHOICE ASSURANCE, INC.",Anthem Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
S3389,UPMC Health Plan,"UPMC HEALTH BENEFITS, INC.",UPMC Health System,Not Applicable,Not Applicable,Not Available,Not Available,Not Available
S3521,"Excellus Health Plan, Inc","EXCELLUS HEALTH PLAN, INC.","Lifetime Healthcare, Inc.",Not Applicable,Not Applicable,Not Available,Not Available,Not Available
S3535,Indy Health Insurance Company,INDY HEALTH INSURANCE COMPANY,"Indy Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
S3875,Granite Alliance,GRANITE ALLIANCE INSURANCE COMPANY,"Magellan Health, Inc.",Not Applicable,Not Applicable,Not Available,Not Available,Not Available
S3994,HMSAs Medicare Rx Plan,HAWAII MEDICAL SERVICE ASSOCIATION (HMSA),Hawaii Medical Service Association,Not Applicable,Not Applicable,Not Available,Not Available,Not Available
S4219,Health Alliance Medicare Prescription Plan,HEALTH ALLIANCE MEDICAL PLANS,The Carle Foundation,Not Applicable,Not Applicable,Not Available,Not Available,Not Available
S4501,Pharmacy Benefit Dimensions PDP,INDEPENDENT HEALTH BENEFITS CORPORATION,"Independent Health Association, Inc.",Not Applicable,Not Applicable,Not Available,Not Available,Not Available
S4802,WellCare,"WELLCARE PRESCRIPTION INSURANCE, INC.",Centene Corporation,Not Applicable,Not Applicable,37%,11%,9%
S5450,BlueScripts,"SECURITYCARE OF TENNESSEE, INC.",BlueCross BlueShield of Tennessee,Not Applicable,Not Applicable,Not Available,Not Available,Not Available
S5540,Blue Cross and Blue Shield of North Carolina,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA,Blue Cross and Blue Shield of North Carolina,Not Applicable,Not Applicable,51%,11%,5%
S5552,Humana,HUMANA INSURANCE COMPANY OF NEW YORK,Humana Inc.,Not Applicable,Not Applicable,46%,10%,Not Available
S5584,Blue Cross Blue Shield of Michigan,BCBS OF MICHIGAN MUTUAL INSURANCE COMPANY,Blue Cross Blue Shield of Michigan Mutual Ins. Co.,Not Applicable,Not Applicable,47%,12%,Not Available
S5588,Paramount Prescription Drug Plan,PARAMOUNT INSURANCE COMPANY,"Promedica Health System, Inc.",Not Applicable,Not Applicable,Not Available,Not Available,Not Available
S5593,Highmark Inc.,HM HEALTH INSURANCE COMPANY,Highmark Health,Not Applicable,Not Applicable,51%,11%,6%
S5596,Anthem / Anthem or Blue KC in Missouri,"ANTHEM INSURANCE COMPANIES, INC.",Anthem Inc.,Not Applicable,Not Applicable,49%,13%,6%
S5601,Aetna Medicare,SILVERSCRIPT INSURANCE COMPANY,CVS Health Corporation,Not Applicable,Not Applicable,39%,10%,5%
S5609,Asuris Northwest Health,ASURIS NORTHWEST HEALTH,"Cambia Health Solutions, Inc.",Not Applicable,Not Applicable,43%,22%,Not Available
S5617,Cigna,CIGNA HEALTH AND LIFE INSURANCE COMPANY,CIGNA,Not Applicable,Not Applicable,40%,12%,6%
S5660,Express Scripts Medicare,MEDCO CONTAINMENT LIFE AND MEDCO CONTAINMENT NY,CIGNA,Not Applicable,Not Applicable,42%,18%,Not Available
S5715,"Blue Cross and Blue Shield of IL, NM, OK, TX",HCSC INSURANCE SERVICES COMPANY,Health Care Service Corporation,Not Applicable,Not Applicable,58%,13%,Not Available
S5726,Blue Cross and Blue Shield of Kansas or Blue KC,BLUE CROSS AND BLUE SHIELD OF KANSAS,Blue Cross Blue Shield of Kansas,Not Applicable,Not Applicable,46%,13%,6%
S5743,MedicareBlue Rx,"WELLMARK  IA & SD, & BCBS MN, MT, NE, ND,& WY","BCBS MN, MT, NE, ND, WY, Wellmark IA and SD",Not Applicable,Not Applicable,43%,8%,5%
S5753,WPS Health Insurance,WISCONSIN PHYSICIANS SERVICE INSURANCE CORPORATION,Wisconsin Physicians Service Ins Corporation.,Not Applicable,Not Applicable,47%,9%,3%
S5768,WellCare,"WELLCARE PRESCRIPTION INSURANCE, INC.",Centene Corporation,Not Applicable,Not Applicable,58%,14%,5%
S5795,Arkansas Blue Medicare,USABLE MUTUAL INSURANCE COMPANY,USAble Mutual Insurance Company,Not Applicable,Not Applicable,49%,10%,3%
S5805,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY OF NEW YORK,"UnitedHealth Group, Inc.",Not Applicable,Not Applicable,47%,10%,6%
S5810,WellCare,"WELLCARE PRESCRIPTION INSURANCE, INC.",Centene Corporation,Not Applicable,Not Applicable,39%,13%,7%
S5820,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Not Applicable,Not Applicable,51%,9%,5%
S5857,Priority Health Medicare,PRIORITY HEALTH INSURANCE COMPANY,Spectrum Health System,Not Applicable,Not Applicable,Not Available,Not Available,Not Available
S5877,EMI Health,EDUCATORS MUTUAL INSURANCE ASSOCIATION,Educators Mutual Insurance Association,Not Applicable,Not Applicable,Not Available,Not Available,Not Available
S5884,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,Not Applicable,Not Applicable,44%,11%,7%
S5904,Florida Blue,"BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC.",Guidewell Mutual Holding Corporation,Not Applicable,Not Applicable,48%,21%,10%
S5916,Regence BlueShield of Idaho and Regence BC BS Utah,REGENCE BLUESHIELD OF IDAHO AND REGENCE BC BS UTAH,"Cambia Health Solutions, Inc.",Not Applicable,Not Applicable,49%,23%,Not Available
S5921,UnitedHealthcare,UNITEDHEALTHCARE INS. CO. & UHC INS. CO. OF NY,"UnitedHealth Group, Inc.",Not Applicable,Not Applicable,36%,10%,5%
S5953,Blue Cross Blue Shield of South Carolina,BLUECROSS AND BLUESHIELD OF SOUTH CAROLINA,BlueCross BlueShield of South Carolina (BCBSSC),Not Applicable,Not Applicable,58%,14%,5%
S5960,UniCare,UNICARE LIFE & HEALTH INSURANCE COMPANY,Anthem Inc.,Not Applicable,Not Applicable,Not Available,Not Available,Not Available
S5966,EmblemHealth Medicare PDP,GROUP HEALTH INCORPORATED,"EmblemHealth, Inc.",Not Applicable,Not Applicable,Not Available,Not Available,Not Available
S5975,"Moda Health Plan, Inc.","MODA HEALTH PLAN, INC.","Moda Partners, Inc.",Not Applicable,Not Applicable,Not Available,Not Available,Not Available
S5983,Express Scripts Medicare,MEDCO CONTAINMENT INSURANCE COMPANY OF NEW YORK,CIGNA,Not Applicable,Not Applicable,35%,15%,Not Available
S5993,Horizon Blue Cross Blue Shield of New Jersey,HORIZON INSURANCE COMPANY,"Horizon Healthcare Services, Inc.",Not Applicable,Not Applicable,55%,15%,7%
S6506,Blue Cross Blue Shield of Arizona,"BLUE CROSS AND BLUE SHIELD ARIZONA, INC.",Blue Cross Blue Shield of Arizona,Not Applicable,Not Applicable,44%,11%,Not Available
S6875,Independence Blue Cross,QCC INSURANCE COMPANY,"Independence Health Group, Inc.",Not Applicable,Not Applicable,Not Available,Not Available,Not Available
S6946,Clear Spring Health,CLEAR SPRING HEALTH INSURANCE COMPANY,Group 1001,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
S7126,Mutual of Omaha Rx,OMAHA HEALTH INSURANCE COMPANY,Mutual of Omaha Insurance Company,Not Applicable,Not Applicable,48%,19%,Not Available
S7694,Elixir Insurance,ELIXIR INSURANCE COMPANY,Rite Aid Corporation,Not Applicable,Not Applicable,32%,14%,Not Available
S8067,Avalon Insurance Company,AVALON INSURANCE COMPANY,Capital BlueCross,Not Applicable,Not Applicable,46%,17%,5%
S8182,Amerigroup,AMERIGROUP INSURANCE COMPANY,Anthem Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
S8677,Providence Health Assurance,PROVIDENCE HEALTH ASSURANCE,Providence Health & Services,Not Applicable,Not Applicable,Not Available,Not Available,Not Available
S8841,"Optum Insurance of Ohio, Inc.","OPTUM INSURANCE OF OHIO, INC.","UnitedHealth Group, Inc.",Not Applicable,Not Applicable,Not Available,Not Available,Not Available
S9325,Exemplar Health,PRESIDENTIAL LIFE INSURANCE COMPANY,"GPA Holdings, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
S9701,Navitus MedicareRx,"DEAN HEALTH INSURANCE, INC.",SSM Healthcare Corporation,Not Applicable,Not Applicable,Not Available,Not Available,Not Available
