,Contract Number,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,C Breast Cancer Screening,C Colorectal Cancer Screening,C Cardiovascular Care – Cholesterol Screening,C Diabetes Care – Cholesterol Screening,C Glaucoma Testing,C Annual Flu Vaccine,C Improving or Maintaining Physical Health,C Improving or Maintaining Mental Health,C Monitoring Physical Activity,C Adult BMI Assessment,C Care for Older Adults – Medication Review,C Care for Older Adults – Functional Status Assessment,C Care for Older Adults – Pain Screening,C Osteoporosis Management in Women who had a Fracture,C Diabetes Care – Eye Exam,C Diabetes Care – Kidney Disease Monitoring,C Diabetes Care – Blood Sugar Controlled,C Diabetes Care – Cholesterol Controlled,C Controlling Blood Pressure,C Rheumatoid Arthritis Management,C Improving Bladder Control,C Reducing the Risk of Falling,C Plan All-Cause Readmissions,C Getting Needed Care,C Getting Appointments and Care Quickly,C Customer Service,C Rating of Health Care Quality,C Rating of Health Plan,C Care Coordination,C Complaints about the Health Plan,C Beneficiary Access and Performance Problems,C Members Choosing to Leave the Plan,C Health Plan Quality Improvement,C Plan Makes Timely Decisions about Appeals,C Reviewing Appeals Decisions,C Call Center – Foreign Language Interpreter and TTY Availability,"HD1: Staying Healthy: Screenings, Tests and Vaccines",HD2: Managing Chronic (Long Term) Conditions,HD3: Member Experience with Health Plan,"HD4: Member Complaints, Problems Getting Services, and Improvement in the Health Plan's Performance",HD5: Health Plan Customer Service,SNP,Part C Summary,D Call Center – Foreign Language Interpreter and TTY Availability,D Appeals Auto–Forward,D Appeals Upheld,D Complaints about the Drug Plan,D Beneficiary Access and Performance Problems,D Members Choosing to Leave the Plan,D Drug Plan Quality Improvement,D Rating of Drug Plan,D Getting Needed Prescription Drugs,D MPF Price Accuracy,D High Risk Medication,D Diabetes Treatment,D Medication Adherence for Diabetes Medications ,D Medication Adherence for Hypertension (RAS antagonists) ,D Medication Adherence for Cholesterol (Statins) ,DD1: Drug Plan Customer Service,"DD2: Member Complaints, Problems Getting Services, and Improvement in the Drug Plan’s Performance ",DD3: Member Experience with the Drug Plan,DD4: Patient Safety and Accuracy of Drug Pricing,Part D Summary,C Special Needs Plan (SNP) Care Management,C Care for Older Adults – Pain Assessment,HD4: Member Complaints and Changes in the Health Plan's Performance,DD2: Member Complaints and Changes in the Drug Plan’s Performance,DD4: Drug Safety and Accuracy of Drug Pricing,D Medication Adherence for Diabetes Medications,D Medication Adherence for Hypertension (RAS antagonists),D Medication Adherence for Cholesterol (Statins),D MTM Program Completion Rate for CMR,C Medication Reconciliation Post-Discharge,C Statin Therapy for Patients with Cardiovascular Disease,D Statin Use in Persons with Diabetes (SUPD),C Controlling High Blood Pressure,C Transitions of Care,C Follow-up after Emergency Department Visit for People with Multiple High-Risk Chronic Conditions,Year,Overall
42,H0544,Local CCP,CAREMORE HEALTH PLAN,CareMore Health Plan,"WellPoint, Inc.",4.0,5.0,5.0,4.0,5.0,4.0,4.0,2.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,5.0,2.0,2.0,4.0,5.0,2.0,2.0,4.0,2.0,4.0,1.0,3.0,2.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,1.0,4.0,1.0,4.0,2.0,3.0,2.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,2.0,4.0,5.0,4.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,4
43,H0545,Local CCP,"INTER VALLEY HEALTH PLAN, INC.",Inter Valley Health Plan,InterValley Health Plan,4.0,5.0,4.0,4.0,5.0,4.0,4.0,1.0,2.0,5.0,0.0,0.0,0.0,2.0,4.0,5.0,3.0,4.0,4.0,3.0,1.0,3.0,4.0,2.0,2.0,5.0,4.0,5.0,2.0,5.0,4.0,5.0,2.0,5.0,4.0,5.0,4.0,3.0,3.0,4.0,5.0,0.0,3.5,5.0,5.0,0.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,4
44,H0562,Local CCP,"HEALTH NET OF CALIFORNIA,INC.",Health Net of California,"Health Net, Inc.",4.0,5.0,5.0,4.0,3.0,4.0,4.0,2.0,3.0,4.0,5.0,4.0,4.0,2.0,5.0,5.0,4.0,5.0,4.0,3.0,2.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,1.0,4.0,1.0,2.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,4
45,H0564,Local CCP,BLUE CROSS OF CALIFORNIA,Anthem Blue Cross,"WellPoint, Inc.",4.0,5.0,5.0,4.0,2.0,4.0,4.0,2.0,1.0,4.0,0.0,0.0,0.0,2.0,3.0,5.0,4.0,5.0,4.0,3.0,1.0,3.0,5.0,1.0,3.0,3.0,4.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,0.0,5.0,4.0,4.0,3.0,3.0,3.0,0.0,3.5,4.0,5.0,0.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,5.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,3.5
46,H0571,Local CCP,CHINESE COMMUNITY HEALTH PLAN,Chinese Community Health Plan,Chinese Hospital Association,4.0,5.0,4.0,4.0,4.0,5.0,5.0,2.0,3.0,5.0,5.0,4.0,4.0,2.0,5.0,5.0,4.0,5.0,5.0,1.0,1.0,4.0,4.0,4.0,1.0,4.0,1.0,4.0,1.0,5.0,3.0,5.0,4.0,0.0,0.0,3.0,4.0,4.0,3.0,4.0,0.0,1.0,3.5,1.0,5.0,0.0,5.0,3.0,5.0,4.0,2.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,2.0,5.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,4
47,H0602,1876 Cost,ROCKY MOUNTAIN HEALTH MAINTENANCE ORGANIZATION,Rocky Mountain Health Plans,"Rocky Mountain HMO, Inc.",3.0,5.0,4.0,4.0,4.0,5.0,4.0,1.0,2.0,4.0,0.0,0.0,0.0,2.0,5.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,0.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,3.0,0.0,4.0,4.0,4.0,5.0,4.0,0.0,4.0,0.0,0.0,0.0,5.0,5.0,5.0,4.0,2.0,4.0,3.0,3.0,3.0,5.0,5.0,5.0,0.0,5.0,3.0,4.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,4
48,H0609,Local CCP,"PACIFICARE OF COLORADO, INC",UnitedHealthcare,"UnitedHealth Group, Inc.",3.0,4.0,5.0,4.0,3.0,5.0,4.0,2.0,2.0,3.0,0.0,0.0,0.0,2.0,4.0,5.0,5.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,1.0,5.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,0.0,3.5,3.0,4.0,5.0,3.0,1.0,5.0,5.0,2.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,4
49,H0620,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",1.0,1.0,0.0,1.0,3.0,0.0,4.0,1.0,2.0,5.0,5.0,5.0,5.0,1.0,5.0,4.0,3.0,3.0,0.0,0.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,5.0,4.0,4.0,0.0,4.0,2.0,4.0,0.0,4.0,4.0,1.0,3.5,2.0,1.0,0.0,5.0,1.0,5.0,3.0,0.0,0.0,4.0,3.0,1.0,5.0,5.0,3.0,2.0,4.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,3.5
50,H0621,Local CCP,COLORADO ACCESS,Colorado Access Advantage,Colorado Access,2.0,3.0,3.0,1.0,4.0,4.0,5.0,2.0,2.0,4.0,4.0,3.0,4.0,1.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,2.0,4.0,1.0,5.0,4.0,5.0,4.0,5.0,0.0,5.0,3.0,3.0,3.0,5.0,5.0,1.0,3.0,3.0,1.0,0.0,5.0,4.0,5.0,5.0,2.0,1.0,4.0,5.0,5.0,3.0,3.0,4.0,2.0,5.0,2.0,4.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,3.5
51,H0624,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",2.0,3.0,1.0,1.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,2.0,4.0,1.0,2.0,4.0,2.0,4.0,1.0,4.0,2.0,4.0,0.0,4.0,2.0,3.0,3.0,3.0,4.0,1.0,2.5,2.0,1.0,0.0,4.0,1.0,4.0,3.0,4.0,3.0,4.0,1.0,3.0,2.0,4.0,4.0,2.0,3.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,3
52,H0630,Local CCP,KAISER FOUNDATION HP OF CO,Kaiser Permanente,"Kaiser Foundation Health Plan, Inc.",5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,1.0,5.0,4.0,5.0,0.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,5
53,H0657,1876 Cost,COLORADO CHOICE HEALTH PLANS,Colorado Choice Health Plans,Colorado Choice Health Plans,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,4.0,5.0,1.0,4.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,0
54,H0710,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",3.0,3.0,5.0,2.0,5.0,0.0,4.0,2.0,2.0,3.0,5.0,5.0,5.0,1.0,5.0,5.0,3.0,3.0,3.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,0.0,4.0,5.0,1.0,3.5,2.0,5.0,0.0,3.0,1.0,5.0,4.0,0.0,0.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,0.0,4.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,3.5
55,H0712,Local CCP,"WELLCARE OF CONNECTICUT, INC.",WellCare,"WellCare Health Plans, Inc.",4.0,5.0,2.0,3.0,3.0,3.0,5.0,2.0,3.0,4.0,3.0,2.0,2.0,0.0,4.0,4.0,3.0,3.0,3.0,4.0,1.0,4.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,2.0,4.0,3.0,3.0,5.0,5.0,4.0,3.0,3.0,2.0,3.0,5.0,1.0,3.0,5.0,1.0,0.0,2.0,4.0,3.0,4.0,1.0,2.0,4.0,5.0,5.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,3
56,H0755,Local CCP,"OXFORD HEALTH PLANS (CT), INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",3.0,4.0,5.0,4.0,4.0,4.0,5.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,4.0,5.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,0.0,3.5,3.0,3.0,4.0,3.0,1.0,4.0,5.0,1.0,4.0,4.0,4.0,2.0,5.0,5.0,4.0,3.0,3.0,3.0,4.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,4
59,H0838,Local CCP,"UNIVERSAL CARE, INC.",Brand New Day,"Universal Care, Inc",2.0,1.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,5.0,2.0,5.0,1.0,0.0,3.0,3.0,2.0,2.0,3.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,0.0,0.0,3.0,3.0,3.0,2.0,3.0,0.0,1.0,2.5,1.0,5.0,0.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,1.0,5.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,3
62,H0901,Local CCP,"AETNA HEALTH, INC. (PA)",Aetna Medicare,Aetna Inc.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,5.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,False
63,H0908,Local CCP,"BUCKEYE COMMUNITY HEALTH PLAN, INC.",Advantage by Buckeye Community Health Plan,Centene Corporation,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,5.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,4.0,1.0,5.0,1.0,1.0,1.0,5.0,2.0,0.0,2.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,False
64,H0913,Local CCP,"WELLCARE HEALTH PLANS OF NEW JERSEY, INC.",WellCare,"WellCare Health Plans, Inc.",3.0,4.0,5.0,4.0,2.0,1.0,4.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,5.0,3.0,3.0,3.0,0.0,0.0,4.0,3.0,0.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,1.0,4.0,4.0,5.0,4.0,3.0,3.0,2.0,3.0,4.0,0.0,3.0,5.0,5.0,0.0,3.0,3.0,1.0,4.0,1.0,2.0,4.0,5.0,5.0,1.0,1.0,1.0,5.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,3
66,H0979,PFFS,"AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.","AMERICA'S 1ST CHOICE INSURANCE COMPANY OF NC, INC.","America's 1st Choice Holdings of N.C., LLC",3.0,2.0,4.0,4.0,4.0,4.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,3.0,0.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,1.0,5.0,2.0,3.0,0.0,0.0,5.0,3.0,3.0,4.0,3.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,5.0,2.0,1.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,3
67,H1013,Local CCP,"COVENTRY HEALTH PLAN OF FLORIDA, INC.",Coventry Health Plan of Florida,Aetna Inc.,5.0,5.0,5.0,5.0,4.0,1.0,5.0,1.0,2.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,1.0,4.0,4.0,4.0,3.0,4.0,3.0,1.0,3.5,3.0,5.0,0.0,3.0,4.0,3.0,5.0,5.0,4.0,4.0,3.0,5.0,4.0,4.0,2.0,4.0,4.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,4
68,H1016,Local CCP,"AVMED, INC.",AvMed Medicare,"AvMed, Inc.",4.0,5.0,5.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0,0.0,0.0,0.0,2.0,5.0,5.0,4.0,5.0,4.0,3.0,2.0,4.0,3.0,4.0,1.0,5.0,4.0,5.0,3.0,5.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,5.0,2.0,0.0,5.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,5.0,4.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,4.5
69,H1019,Local CCP,"CAREPLUS HEALTH PLANS, INC.","CarePlus Health Plans, Inc.",Humana Inc.,5.0,5.0,5.0,5.0,5.0,2.0,4.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,5.0,3.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,1.0,4.0,4.0,4.0,0.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,4.5
70,H1026,Local CCP,"HEALTH OPTIONS, INC.",Florida Blue HMO,Blue Cross and Blue Shield of Florida,3.0,4.0,5.0,5.0,2.0,2.0,5.0,3.0,2.0,3.0,0.0,0.0,0.0,2.0,2.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,0.0,3.5,1.0,3.0,1.0,1.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,2.0,4.0,5.0,4.0,2.0,4.0,5.0,4.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,3.5
71,H1032,Local CCP,"WELLCARE OF FLORIDA, INC.",WellCare,"WellCare Health Plans, Inc.",4.0,5.0,5.0,4.0,3.0,2.0,4.0,2.0,3.0,5.0,4.0,3.0,3.0,2.0,4.0,5.0,4.0,3.0,3.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,4.0,2.0,2.0,4.0,2.0,5.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,1.0,3.0,5.0,1.0,2.0,2.0,4.0,2.0,5.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,3.5
72,H1035,Local CCP,"FLORIDA HEALTH CARE PLAN, INC.","Florida Health Care Plan, Inc.",Blue Cross and Blue Shield of Florida,5.0,5.0,5.0,5.0,5.0,4.0,4.0,2.0,3.0,5.0,0.0,0.0,0.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,2.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,1.0,4.5,1.0,5.0,0.0,5.0,4.0,5.0,2.0,5.0,4.0,4.0,3.0,2.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,4.5
73,H1036,Local CCP,"HUMANA MEDICAL PLAN, INC.","Humana Medical Plan, Inc.",Humana Inc.,5.0,5.0,5.0,5.0,5.0,4.0,4.0,1.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,0.0,2.0,4.0,2.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,3.0,5.0,5.0,1.0,4.5,5.0,2.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,4.5
74,H1045,Local CCP,PREFERRED CARE PARTNERS INC.,"Preferred Care Partners, Inc.","UnitedHealth Group, Inc.",4.0,5.0,5.0,5.0,5.0,1.0,4.0,2.0,3.0,4.0,1.0,3.0,3.0,2.0,4.0,5.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,4.0,1.0,4.0,5.0,5.0,5.0,2.0,4.0,4.0,3.0,5.0,3.0,5.0,4.0,3.0,4.0,3.0,4.0,1.0,3.5,5.0,1.0,0.0,2.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,5.0,5.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,4
75,H1076,Local CCP,"COVENTRY HEALTH CARE OF FLORIDA, INC.",Coventry Health Care of Florida,Aetna Inc.,4.0,5.0,5.0,5.0,2.0,1.0,5.0,2.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,3.0,1.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,5.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,3.5,3.0,5.0,0.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,3.0,5.0,4.0,2.0,2.0,4.0,4.0,4.0,3.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,3.5
76,H1080,Local CCP,"UNITEDHEALTHCARE OF FLORIDA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",3.0,4.0,5.0,4.0,3.0,3.0,5.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,2.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,1.0,3.5,2.0,4.0,5.0,2.0,1.0,2.0,3.0,2.0,4.0,4.0,3.0,1.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,3.5
77,H1099,Local CCP,HEALTH FIRST HEALTH PLANS,"Health First Health Plans, Inc.",Health First,4.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,3.0,5.0,0.0,0.0,0.0,2.0,5.0,5.0,5.0,5.0,4.0,5.0,2.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,0.0,4.5,4.0,5.0,0.0,4.0,5.0,5.0,3.0,2.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,4.5
78,H1108,Local CCP,UNITEDHEALTHCARE INSURANCE COMPANY,UnitedHealthcare,"UnitedHealth Group, Inc.",2.0,2.0,1.0,2.0,4.0,1.0,5.0,1.0,3.0,3.0,4.0,4.0,3.0,1.0,5.0,5.0,2.0,2.0,3.0,2.0,2.0,4.0,4.0,0.0,2.0,3.0,4.0,4.0,2.0,3.0,1.0,3.0,5.0,3.0,0.0,4.0,2.0,3.0,3.0,3.0,4.0,1.0,3.0,2.0,5.0,0.0,3.0,1.0,3.0,3.0,4.0,4.0,4.0,2.0,1.0,1.0,3.0,2.0,4.0,3.0,4.0,2.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,3
79,H1109,Local CCP,AETNA HEALTH INC.(GEORGIA),Aetna Medicare,Aetna Inc.,3.0,4.0,5.0,5.0,3.0,4.0,4.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,4.0,5.0,3.0,3.0,3.0,5.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,1.0,4.0,2.0,5.0,0.0,5.0,4.0,4.0,3.0,3.0,5.0,0.0,3.5,5.0,5.0,0.0,3.0,1.0,4.0,1.0,2.0,3.0,4.0,4.0,2.0,2.0,3.0,2.0,5.0,2.0,3.0,3.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,3
